hour_local,mean,std,min,max,p05,p25,p75,p95
0,74.53886010362694,2.9427070753011644,63.0,84.0,70.0,73.0,77.0,79.0
1,73.82338308457712,3.277087463267905,62.0,84.0,68.0,72.0,76.0,79.0
2,73.17381974248927,3.2458147082243527,61.0,82.0,67.0,72.0,75.0,77.0
3,72.69351669941061,3.438488900020915,58.0,81.0,66.0,72.0,75.0,77.0
4,72.37099811676083,3.160461326188958,59.0,81.0,66.0,71.0,74.0,77.0
5,72.38061041292639,3.235735322915541,57.0,81.0,66.0,72.0,74.0,77.0
6,72.65886287625418,3.1384597644479015,56.0,81.0,66.85,72.0,75.0,77.0
7,74.62610229276896,2.9533276692018458,62.0,83.0,70.0,73.0,77.0,79.0
8,76.96742671009773,3.7077909540444542,67.0,91.0,72.0,75.0,79.0,84.0
9,79.62956204379562,4.766542654323503,68.0,91.0,72.0,75.0,83.0,88.0
10,82.30265486725663,5.067495852566484,68.0,95.0,74.0,79.0,86.0,91.0
11,84.1595394736842,5.3271126894732586,70.0,97.0,73.0,81.0,88.0,92.0
12,85.12993421052632,5.693537363161327,72.0,98.0,75.0,81.0,89.0,93.0
13,85.53697183098592,6.1180658249448845,72.0,100.0,75.0,81.0,90.0,95.0
14,85.98371335504886,5.9148163471191175,72.0,101.0,76.65,81.0,90.0,95.0
15,85.86042402826855,6.567818228305251,72.0,100.0,75.0,81.0,91.0,95.0
16,85.03896103896103,6.964084951804612,72.0,99.0,73.0,79.0,91.0,95.0
17,83.69005847953217,6.458660503880504,72.0,98.0,73.0,78.0,89.0,94.0
18,81.9085239085239,5.607282291058184,70.0,95.0,73.0,78.0,86.0,92.0
19,79.56347438752783,4.3728160314085205,70.0,91.0,73.0,76.0,82.0,88.0
20,77.53376906318083,3.4635426809675125,67.0,89.0,73.0,75.0,80.0,83.0
21,76.68819599109132,3.0142324000484333,67.0,87.0,72.0,75.0,79.0,81.0
22,75.69099756690997,3.122599249920458,66.0,86.0,71.0,74.0,78.0,80.5
23,74.93622448979592,3.1098414907858336,55.0,84.0,70.0,73.0,77.0,79.0
