hour_local,mean,std,min,max,p05,p25,p75,p95
0.03333333333333333,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
0.05,82.5,4.949747468305833,79.0,86.0,79.35,80.75,84.25,85.65
0.1,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
0.13333333333333333,86.0,,86.0,86.0,86.0,86.0,86.0,86.0
0.16666666666666666,78.5,4.949747468305833,75.0,82.0,75.35,76.75,80.25,81.65
0.18333333333333332,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
0.21666666666666667,81.5,6.363961030678928,77.0,86.0,77.45,79.25,83.75,85.55
0.26666666666666666,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
0.3333333333333333,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
0.38333333333333336,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
0.4166666666666667,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
0.43333333333333335,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
0.6,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
0.6333333333333333,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
0.6666666666666666,82.0,,82.0,82.0,82.0,82.0,82.0,82.0
0.7666666666666667,76.0,1.4142135623730951,75.0,77.0,75.1,75.5,76.5,76.9
0.8,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
0.9166666666666666,83.67796610169492,4.458392620379202,73.0,91.0,75.0,81.0,87.0,90.0
0.9333333333333333,83.43884892086331,4.496560856363526,72.0,90.0,,,,
0.95,88.0,,88.0,88.0,88.0,88.0,88.0,88.0
0.9666666666666667,83.43333333333334,3.954942860991537,74.0,90.0,75.45,81.0,87.0,89.0
1.1,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
1.2,81.0,,81.0,81.0,81.0,81.0,81.0,81.0
1.3,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
1.3833333333333333,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
1.4333333333333333,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
1.4666666666666668,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
1.4833333333333334,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
1.5166666666666666,79.0,,79.0,79.0,79.0,79.0,79.0,79.0
1.5666666666666667,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
1.6,76.0,1.4142135623730951,75.0,77.0,75.1,75.5,76.5,76.9
1.6333333333333333,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
1.7166666666666668,78.0,1.4142135623730951,77.0,79.0,77.1,77.5,78.5,78.9
1.7666666666666666,76.33333333333333,1.1547005383792495,75.0,77.0,75.2,76.0,77.0,77.0
1.7833333333333332,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
1.8,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
1.8166666666666667,75.0,2.8284271247461903,73.0,77.0,73.2,74.0,76.0,76.8
1.9166666666666665,82.45762711864407,4.178442350835042,72.0,89.0,74.0,80.0,86.0,88.0
1.9333333333333333,82.09352517985612,4.204711102331712,71.0,91.0,,,,
1.95,,,,,,,,
1.9666666666666668,82.08602150537635,3.6524438333880314,73.0,88.0,75.0,79.0,85.0,87.0
2.033333333333333,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
2.05,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
2.0833333333333335,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
2.1,75.0,0.0,75.0,75.0,75.0,75.0,75.0,75.0
2.183333333333333,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
2.25,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
2.2666666666666666,75.0,0.0,75.0,75.0,75.0,75.0,75.0,75.0
2.3666666666666667,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
2.3833333333333333,74.0,1.4142135623730951,73.0,75.0,73.1,73.5,74.5,74.9
2.4166666666666665,77.0,2.8284271247461903,75.0,79.0,75.2,76.0,78.0,78.8
2.4333333333333336,76.0,1.4142135623730951,75.0,77.0,75.1,75.5,76.5,76.9
2.45,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
2.466666666666667,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
2.6,75.0,0.0,75.0,75.0,75.0,75.0,75.0,75.0
2.6166666666666667,73.0,,73.0,73.0,73.0,73.0,73.0,73.0
2.6666666666666665,79.33333333333333,3.7859388972001833,75.0,82.0,75.6,78.0,81.5,81.9
2.7333333333333334,73.0,,73.0,73.0,73.0,73.0,73.0,73.0
