hour_local,mean,std,min,max,p05,p25,p75,p95
0.016666666666666666,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
0.03333333333333333,74.66666666666667,7.7674534651540315,66.0,81.0,67.1,71.5,79.0,80.6
0.05,81.0,,81.0,81.0,81.0,81.0,81.0,81.0
0.06666666666666667,73.0,,73.0,73.0,73.0,73.0,73.0,73.0
0.1,72.5,6.363961030678928,68.0,77.0,68.45,70.25,74.75,76.55
0.11666666666666667,66.0,,66.0,66.0,66.0,66.0,66.0,66.0
0.13333333333333333,73.0,,73.0,73.0,73.0,73.0,73.0,73.0
0.16666666666666666,88.0,,88.0,88.0,88.0,88.0,88.0,88.0
0.18333333333333332,73.5,2.1213203435596424,72.0,75.0,72.15,72.75,74.25,74.85
0.2,81.0,,81.0,81.0,81.0,81.0,81.0,81.0
0.21666666666666667,77.0,4.0,73.0,81.0,73.4,75.0,79.0,80.6
0.23333333333333334,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
0.25,73.0,,73.0,73.0,73.0,73.0,73.0,73.0
0.2833333333333333,75.0,12.727922061357855,66.0,84.0,66.9,70.5,79.5,83.1
0.3,73.0,,73.0,73.0,,,,
0.31666666666666665,88.0,,88.0,88.0,88.0,88.0,88.0,88.0
0.36666666666666664,66.0,,66.0,66.0,66.0,66.0,66.0,66.0
0.38333333333333336,74.66666666666667,2.516611478423585,72.0,77.0,,,,
0.4,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
0.43333333333333335,76.0,1.4142135623730951,75.0,77.0,,,,
0.45,66.0,,66.0,66.0,66.0,66.0,66.0,66.0
0.4666666666666667,72.5,0.7071067811865476,72.0,73.0,72.05,72.25,72.75,72.95
0.5,73.0,,73.0,73.0,73.0,73.0,73.0,73.0
0.5166666666666667,73.0,,73.0,73.0,73.0,73.0,73.0,73.0
0.5333333333333333,66.0,,66.0,66.0,66.0,66.0,66.0,66.0
0.55,72.5,0.7071067811865476,72.0,73.0,72.05,72.25,72.75,72.95
0.5666666666666667,86.0,,86.0,86.0,86.0,86.0,86.0,86.0
0.6,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
0.6166666666666667,69.0,4.242640687119285,66.0,72.0,66.3,67.5,70.5,71.7
0.6333333333333333,73.0,2.5495097567963922,70.0,77.0,70.4,72.0,73.0,76.2
0.6666666666666666,81.5,12.020815280171307,73.0,90.0,73.85,77.25,85.75,89.15
0.7,86.0,,86.0,86.0,86.0,86.0,86.0,86.0
0.7166666666666667,70.0,,70.0,70.0,70.0,70.0,70.0,70.0
0.7333333333333333,70.0,,70.0,70.0,70.0,70.0,70.0,70.0
0.75,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
0.7666666666666667,79.0,,79.0,79.0,,,,
0.7833333333333333,78.66666666666667,8.144527815247079,73.0,88.0,73.2,74.0,81.5,86.7
0.8,73.5,4.949747468305833,70.0,77.0,70.35,71.75,75.25,76.65
0.8333333333333334,75.0,2.8284271247461903,73.0,77.0,73.2,74.0,76.0,76.8
0.85,67.0,1.4142135623730951,66.0,68.0,66.1,66.5,67.5,67.9
0.8666666666666667,70.33333333333333,2.516611478423583,68.0,73.0,68.2,69.0,71.5,72.7
0.9,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
0.9166666666666666,83.38888888888889,5.685552621091353,65.0,91.0,72.65,80.5,87.0,90.0
0.9333333333333333,80.568,5.055077294326256,67.0,91.0,,,,
0.95,72.5,9.192388155425117,66.0,79.0,66.65,69.25,75.75,78.35
0.9666666666666667,77.13793103448276,4.722958310687357,66.0,87.0,,,,
0.9833333333333333,72.5,9.192388155425117,66.0,79.0,66.65,69.25,75.75,78.35
1.0,75.0,12.727922061357855,66.0,84.0,66.9,70.5,79.5,83.1
1.0333333333333334,79.0,,79.0,79.0,79.0,79.0,79.0,79.0
1.05,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
1.0666666666666667,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
1.1333333333333333,72.5,3.5355339059327378,70.0,75.0,,,,
1.15,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
1.1666666666666667,78.0,8.660254037844387,73.0,88.0,73.0,73.0,80.5,86.5
1.2,68.0,,68.0,68.0,68.0,68.0,68.0,68.0
1.2166666666666668,73.0,5.196152422706632,70.0,79.0,,,,
1.2333333333333334,82.0,,82.0,82.0,82.0,82.0,82.0,82.0
1.2666666666666666,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
1.3,70.0,,70.0,70.0,70.0,70.0,70.0,70.0
1.3333333333333333,73.0,,73.0,73.0,73.0,73.0,73.0,73.0
1.35,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
1.3666666666666667,69.0,1.4142135623730951,68.0,70.0,68.1,68.5,69.5,69.9
1.3833333333333333,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
1.4166666666666667,73.0,,73.0,73.0,73.0,73.0,73.0,73.0
1.4333333333333333,77.0,7.0710678118654755,72.0,82.0,72.5,74.5,79.5,81.5
1.45,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
1.4666666666666668,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
1.5166666666666666,66.0,,66.0,66.0,66.0,66.0,66.0,66.0
1.5333333333333332,66.0,,66.0,66.0,66.0,66.0,66.0,66.0
1.5666666666666667,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
1.5833333333333335,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
1.6,73.5,2.1213203435596424,72.0,75.0,72.15,72.75,74.25,74.85
1.6333333333333333,70.0,,70.0,70.0,70.0,70.0,70.0,70.0
1.6833333333333333,84.0,,84.0,84.0,84.0,84.0,84.0,84.0
1.7,71.66666666666667,8.144527815247075,66.0,81.0,66.2,67.0,74.5,79.7
1.7166666666666668,71.5,2.1213203435596424,70.0,73.0,70.15,70.75,72.25,72.85
1.7333333333333334,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
1.7666666666666666,78.0,4.242640687119285,75.0,81.0,75.3,76.5,79.5,80.7
1.8,75.25,4.7871355387816905,70.0,81.0,70.45,72.25,78.0,80.4
1.85,77.5,6.363961030678928,73.0,82.0,73.45,75.25,79.75,81.55
1.8666666666666667,68.0,2.8284271247461903,66.0,70.0,66.2,67.0,69.0,69.8
1.8833333333333333,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
1.9166666666666665,81.76470588235294,5.71752385361717,65.0,89.0,69.05,78.0,85.25,88.65
1.9333333333333333,79.21929824561404,4.811046970723742,66.0,88.0,,,,
1.95,83.2,1.9235384061671335,80.0,85.0,80.6,83.0,84.0,84.8
1.9666666666666668,76.50561797752809,4.545536260756797,66.0,85.0,,,,
1.9833333333333334,85.0,,85.0,85.0,85.0,85.0,85.0,85.0
2.05,75.75,4.112987559751023,72.0,81.0,72.15,72.75,78.0,80.4
2.066666666666667,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
2.1,76.0,4.58257569495584,72.0,81.0,72.3,73.5,78.0,80.4
2.1666666666666665,78.25,6.238322424070967,70.0,84.0,71.05,75.25,82.5,83.7
2.183333333333333,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
2.2666666666666666,74.0,5.5677643628300215,68.0,79.0,68.7,71.5,77.0,78.6
2.3,74.33333333333333,2.309401076758505,73.0,77.0,73.0,73.0,75.0,76.6
2.3166666666666664,73.0,,73.0,73.0,73.0,73.0,73.0,73.0
2.35,82.0,,82.0,82.0,82.0,82.0,82.0,82.0
2.3833333333333333,68.0,,68.0,68.0,68.0,68.0,68.0,68.0
2.4333333333333336,75.2,5.118593556827892,68.0,81.0,69.0,73.0,79.0,80.6
2.466666666666667,72.6,2.5099800796022262,70.0,75.0,70.0,70.0,75.0,75.0
2.4833333333333334,74.0,6.557438524302,68.0,81.0,68.5,70.5,77.0,80.2
2.5,79.0,2.8284271247461903,77.0,81.0,77.2,78.0,80.0,80.8
2.55,72.0,3.605551275463989,68.0,75.0,68.5,70.5,74.0,74.8
2.5666666666666664,72.5,3.5355339059327378,70.0,75.0,70.25,71.25,73.75,74.75
2.5833333333333335,82.0,,82.0,82.0,82.0,82.0,82.0,82.0
2.6,72.8,5.630275304103699,66.0,81.0,66.8,70.0,75.0,79.8
2.6333333333333333,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
2.65,75.5,4.949747468305833,72.0,79.0,72.35,73.75,77.25,78.65
2.6666666666666665,77.0,12.12435565298214,64.0,88.0,65.5,71.5,83.5,87.1
2.6833333333333336,79.0,,79.0,79.0,79.0,79.0,79.0,79.0
2.716666666666667,74.25,4.856267428111154,68.0,79.0,68.75,71.75,77.5,78.7
2.7666666666666666,74.5,4.840306956027835,66.0,81.0,67.4,72.25,77.5,80.3
2.8,72.0,3.605551275463989,68.0,75.0,68.5,70.5,74.0,74.8
2.8166666666666664,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
2.8333333333333335,81.0,,81.0,81.0,81.0,81.0,81.0,81.0
2.85,81.0,,81.0,81.0,81.0,81.0,81.0,81.0
2.8833333333333333,71.5,4.041451884327381,68.0,75.0,68.0,68.0,75.0,75.0
2.9166666666666665,80.6969696969697,4.927067147501714,65.0,87.0,,,,
2.9333333333333336,78.04132231404958,4.352004699397884,66.0,86.0,,,,
2.95,79.0,6.055300708194984,70.0,83.0,71.65,78.25,82.25,82.85
2.966666666666667,75.43181818181819,4.375468328419136,64.0,86.0,,,,
2.9833333333333334,74.66666666666667,3.214550253664317,71.0,77.0,71.5,73.5,76.5,76.9
3.0,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
3.033333333333333,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
3.05,71.66666666666667,3.5118845842842483,68.0,75.0,68.4,70.0,73.5,74.7
3.1,81.0,,81.0,81.0,81.0,81.0,81.0,81.0
3.1333333333333333,71.66666666666667,3.5118845842842483,68.0,75.0,68.4,70.0,73.5,74.7
3.1666666666666665,79.5,5.686240703077327,73.0,86.0,73.6,76.0,83.0,85.4
3.183333333333333,78.0,4.242640687119285,75.0,81.0,75.3,76.5,79.5,80.7
3.2,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
3.216666666666667,68.0,0.0,68.0,68.0,68.0,68.0,68.0,68.0
3.2333333333333334,77.0,2.8284271247461903,75.0,79.0,75.2,76.0,78.0,78.8
3.25,73.0,12.727922061357855,64.0,82.0,64.9,68.5,77.5,81.1
3.2666666666666666,74.66666666666667,4.760952285695233,68.0,81.0,69.0,72.25,78.0,80.5
3.283333333333333,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
3.3,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
3.35,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
3.3833333333333333,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
3.4,73.0,,73.0,73.0,73.0,73.0,73.0,73.0
3.4166666666666665,79.0,2.8284271247461903,77.0,81.0,77.2,78.0,80.0,80.8
3.4333333333333336,72.57142857142857,2.636736799982309,68.0,77.0,69.2,72.0,73.0,75.8
3.45,75.0,0.0,75.0,75.0,75.0,75.0,75.0,75.0
3.466666666666667,71.0,3.605551275463989,68.0,75.0,68.2,69.0,72.5,74.5
3.5,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
3.55,75.0,2.8284271247461903,73.0,77.0,73.2,74.0,76.0,76.8
3.5666666666666664,79.0,,79.0,79.0,79.0,79.0,79.0,79.0
3.6,72.66666666666667,4.1311822359545785,66.0,79.0,67.5,72.25,73.0,77.5
3.6166666666666667,73.0,1.7320508075688772,72.0,75.0,72.0,72.0,73.5,74.7
3.6333333333333333,76.0,1.4142135623730951,75.0,77.0,75.1,75.5,76.5,76.9
3.6666666666666665,76.5,7.32575365861197,66.0,82.0,67.65,74.25,81.25,81.85
3.6833333333333336,78.0,4.58257569495584,73.0,82.0,73.6,76.0,80.5,81.7
3.716666666666667,77.0,4.0,73.0,81.0,73.4,75.0,79.0,80.6
3.7333333333333334,64.0,,64.0,64.0,64.0,64.0,64.0,64.0
3.75,64.0,,64.0,64.0,64.0,64.0,64.0,64.0
3.7666666666666666,71.16666666666667,4.445971959725643,66.0,77.0,66.5,68.0,74.5,76.5
3.783333333333333,75.33333333333333,3.5118845842842483,72.0,79.0,72.3,73.5,77.0,78.6
3.8,73.0,,73.0,73.0,73.0,73.0,73.0,73.0
3.8333333333333335,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
3.8833333333333333,72.66666666666667,0.5773502691896247,72.0,73.0,72.1,72.5,73.0,73.0
3.9,79.0,,79.0,79.0,79.0,79.0,79.0,79.0
