hour_local,mean,std,min,max,p05,p25,p75,p95
0,78.82919254658385,4.697585245011518,64.0,91.0,71.0,76.0,82.0,86.0
1,76.93690851735016,4.497797692579851,63.0,87.0,69.8,74.0,80.0,85.0
2,75.26461538461538,4.673025785345437,63.0,86.0,68.0,72.0,79.0,82.0
3,73.89538461538461,4.648922308716146,61.0,84.0,66.0,71.0,77.0,81.0
4,72.82262996941895,4.73652837397856,60.0,83.0,65.0,70.0,76.0,80.69999999999999
5,71.6344410876133,5.172411480151564,58.0,85.0,63.0,68.0,75.0,80.0
6,70.29102167182663,5.358178274262949,56.0,82.0,62.0,67.0,74.0,79.0
7,68.82352941176471,5.527995728023306,55.0,81.0,60.0,64.0,73.0,78.0
8,69.10835913312694,5.385512954553754,56.0,81.0,60.0,65.0,73.0,78.0
9,73.71296296296296,5.152866152323712,59.0,84.0,65.15,70.0,78.0,82.0
10,79.51671732522796,5.274813039893167,64.0,92.0,71.0,76.0,83.0,87.0
11,84.68615384615384,5.60587976496297,65.0,98.0,75.0,82.0,88.0,93.0
12,89.36,5.555799994622454,64.0,101.0,80.0,87.0,93.0,97.0
13,92.75903614457832,5.955201055546543,64.0,105.0,83.0,90.0,96.25,100.0
14,95.91242937853107,5.2274838385722395,66.0,107.0,87.0,94.0,99.0,103.0
15,97.62435233160622,6.1226704741705875,66.0,109.0,88.25,95.0,101.0,105.0
16,99.11794871794872,5.172245080691867,67.0,111.0,91.0,96.0,102.0,106.0
17,99.08612440191388,6.118905624933039,66.0,110.0,88.0,97.0,103.0,107.0
18,98.58485639686684,5.567527430914362,64.0,109.0,90.0,96.0,102.0,105.89999999999998
19,96.57360406091371,5.763437773370621,64.0,108.0,87.0,94.0,100.0,104.0
20,92.78062678062678,5.42115123833312,66.0,106.0,84.0,90.0,97.0,100.5
21,87.81120943952803,5.068733897713295,68.0,99.0,79.0,85.0,91.0,95.0
22,83.85849056603773,4.827181213867938,67.0,95.0,76.0,81.0,87.0,91.14999999999998
23,81.1258064516129,4.663461757227488,65.0,92.0,73.0,79.0,84.0,88.0
