hour_local,mean,std,min,max,p05,p25,p75,p95
0,32.7814910025707,9.997735147545173,2.0,60.0,14.0,27.0,39.0,48.0
1,32.145833333333336,10.367884905989591,1.0,60.0,14.0,26.75,38.0,49.849999999999966
2,31.30690537084399,10.235580395841769,1.0,60.0,13.0,25.5,38.0,50.0
3,31.79527559055118,10.033631799847079,1.0,57.0,14.0,26.0,38.0,49.0
4,31.997560975609755,10.58127209838162,1.0,57.0,14.0,26.0,37.75,50.0
5,31.10487804878049,10.50305465450676,0.0,59.0,14.0,25.0,36.0,50.0
6,30.20822622107969,10.704817982159543,-1.0,59.0,13.400000000000002,24.0,36.0,47.0
7,30.365967365967364,10.519401648207737,-4.0,57.0,12.0,25.0,36.0,48.0
8,32.640776699029125,9.93076212474346,3.0,59.0,14.0,27.75,38.0,50.0
9,35.45454545454545,9.995538853799788,3.0,61.0,17.0,31.0,41.0,51.0
10,38.46719160104987,11.502498572394142,1.0,63.0,18.0,32.0,46.0,57.0
11,40.798898071625345,12.551806407297194,1.0,66.0,18.0,32.5,50.0,61.0
12,42.74785100286533,13.02956528507248,3.0,70.0,20.0,34.0,52.0,62.599999999999966
13,44.292957746478876,12.72476259247821,5.0,74.0,22.0,35.0,54.0,63.0
14,45.56797583081571,12.926742370549729,6.0,77.0,22.5,37.0,55.0,64.0
15,45.23598820058997,12.89639197100037,8.0,76.0,23.0,36.0,54.5,65.0
16,43.90030211480362,12.68089830124948,8.0,72.0,21.5,34.0,53.0,64.0
17,39.70180722891566,10.872715777839858,6.0,63.0,20.0,32.0,47.0,56.0
18,37.732044198895025,10.500627640823513,5.0,61.0,19.05,32.0,45.0,54.0
19,36.363143631436316,9.913667930178889,4.0,60.0,18.0,32.0,42.0,51.599999999999966
20,35.04034582132565,10.31097893438175,3.0,62.0,12.0,30.0,41.0,51.0
21,34.333333333333336,10.203274670237823,3.0,60.0,13.100000000000001,28.0,41.0,48.89999999999998
22,34.137741046831955,10.012300852636082,1.0,60.0,16.0,28.5,40.0,49.0
23,33.570332480818415,10.109885471564326,1.0,61.0,14.5,28.0,39.0,49.5
