hour_local,mean,std,min,max,p05,p25,p75,p95
0.016666666666666666,75.0,2.0,73.0,77.0,73.2,74.0,76.0,76.8
0.05,72.5,0.7071067811865476,72.0,73.0,72.05,72.25,72.75,72.95
0.06666666666666667,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
0.1,71.0,4.58257569495584,66.0,75.0,66.6,69.0,73.5,74.7
0.13333333333333333,77.5,6.363961030678928,73.0,82.0,73.45,75.25,79.75,81.55
0.16666666666666666,65.0,1.4142135623730951,64.0,66.0,64.1,64.5,65.5,65.9
0.21666666666666667,72.66666666666667,2.516611478423582,70.0,75.0,70.3,71.5,74.0,74.8
0.23333333333333334,61.0,,61.0,61.0,61.0,61.0,61.0,61.0
0.26666666666666666,70.0,,70.0,70.0,70.0,70.0,70.0,70.0
0.2833333333333333,66.0,,66.0,66.0,66.0,66.0,66.0,66.0
0.3,71.0,3.5590260840104366,68.0,75.0,68.0,68.0,73.5,74.7
0.35,70.0,,70.0,70.0,70.0,70.0,70.0,70.0
0.36666666666666664,66.0,,66.0,66.0,66.0,66.0,66.0,66.0
0.38333333333333336,71.66666666666667,3.5118845842842448,68.0,75.0,68.4,70.0,73.5,74.7
0.4166666666666667,68.0,3.4641016151377544,64.0,70.0,64.6,67.0,70.0,70.0
0.43333333333333335,75.5,7.7781745930520225,70.0,81.0,70.55,72.75,78.25,80.45
0.4666666666666667,69.66666666666667,2.88675134594813,68.0,73.0,68.0,68.0,70.5,72.5
0.5,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
0.5666666666666667,66.0,,66.0,66.0,66.0,66.0,66.0,66.0
0.6333333333333333,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
0.6666666666666666,79.0,,79.0,79.0,79.0,79.0,79.0,79.0
0.6833333333333333,70.5,9.9498743710662,57.0,81.0,59.25,68.25,74.25,79.64999999999999
0.7166666666666667,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
0.7333333333333333,68.0,,68.0,68.0,68.0,68.0,68.0,68.0
0.7666666666666667,70.0,,70.0,70.0,70.0,70.0,70.0,70.0
0.7833333333333333,70.0,,70.0,70.0,70.0,70.0,70.0,70.0
0.8,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
0.8333333333333334,73.0,,73.0,73.0,73.0,73.0,73.0,73.0
0.85,66.0,,66.0,66.0,66.0,66.0,66.0,66.0
0.8833333333333333,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
0.9,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
0.9166666666666666,73.53448275862068,6.686502553236208,61.0,87.0,63.0,69.0,80.0,83.15
0.9333333333333333,73.61744966442953,5.8223675358149105,57.0,86.0,63.4,70.0,78.0,82.0
0.9666666666666667,73.07954545454545,5.296326184760657,60.0,83.0,64.35,69.0,77.0,81.64999999999999
0.9833333333333333,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
1.0333333333333334,70.0,,70.0,70.0,70.0,70.0,70.0,70.0
1.05,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
1.1,70.0,,70.0,70.0,70.0,70.0,70.0,70.0
1.1666666666666667,73.0,5.5677643628300215,68.0,79.0,68.4,70.0,75.5,78.3
1.1833333333333333,66.0,,66.0,66.0,66.0,66.0,66.0,66.0
1.2166666666666668,69.33333333333333,2.309401076758505,68.0,72.0,68.0,68.0,70.0,71.6
1.2333333333333334,68.0,,68.0,68.0,68.0,68.0,68.0,68.0
1.2666666666666666,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
1.3833333333333333,74.66666666666667,3.7859388972001837,72.0,79.0,72.1,72.5,76.0,78.4
1.4166666666666667,79.0,,79.0,79.0,79.0,79.0,79.0,79.0
1.4666666666666668,66.0,,66.0,66.0,66.0,66.0,66.0,66.0
1.5,66.0,,66.0,66.0,66.0,66.0,66.0,66.0
1.5166666666666666,76.5,6.363961030678928,72.0,81.0,72.45,74.25,78.75,80.55
1.5333333333333332,79.0,2.8284271247461903,77.0,81.0,77.2,78.0,80.0,80.8
1.5666666666666667,70.0,2.8284271247461903,68.0,72.0,68.2,69.0,71.0,71.8
1.6,69.33333333333333,12.013880860626735,57.0,81.0,58.3,63.5,75.5,79.9
1.6333333333333333,69.0,4.242640687119285,66.0,72.0,66.3,67.5,70.5,71.7
1.65,72.5,9.192388155425117,66.0,79.0,66.65,69.25,75.75,78.35
1.6833333333333333,69.0,4.242640687119285,66.0,72.0,66.3,67.5,70.5,71.7
1.7166666666666668,69.0,4.242640687119285,66.0,72.0,66.3,67.5,70.5,71.7
1.7666666666666666,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
1.8,72.5,6.363961030678928,68.0,77.0,68.45,70.25,74.75,76.55
1.85,57.0,,57.0,57.0,57.0,57.0,57.0,57.0
1.8833333333333333,69.66666666666667,4.72581562625261,66.0,75.0,66.2,67.0,71.5,74.3
1.9166666666666665,72.75438596491227,6.498023605446675,62.0,86.0,63.0,67.0,78.0,82.19999999999999
1.9333333333333333,72.64788732394366,5.943226889456139,57.0,85.0,62.05,68.0,77.0,81.0
1.95,68.33333333333333,6.658328118479394,64.0,76.0,64.1,64.5,70.5,74.9
1.9666666666666668,72.05494505494505,4.982999180240837,60.0,82.0,64.5,67.5,76.0,80.0
1.9833333333333334,73.0,,73.0,73.0,73.0,73.0,73.0,73.0
2.05,66.0,,66.0,66.0,66.0,66.0,66.0,66.0
2.066666666666667,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
2.0833333333333335,70.0,,70.0,70.0,70.0,70.0,70.0,70.0
2.1,70.0,,70.0,70.0,70.0,70.0,70.0,70.0
2.1166666666666667,79.0,,79.0,79.0,79.0,79.0,79.0,79.0
2.1333333333333333,66.0,0.0,66.0,66.0,66.0,66.0,66.0,66.0
2.15,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
2.1666666666666665,74.5,3.5355339059327378,72.0,77.0,72.25,73.25,75.75,76.75
2.183333333333333,65.66666666666667,7.505553499465137,57.0,70.0,58.3,63.5,70.0,70.0
2.216666666666667,66.0,,66.0,66.0,66.0,66.0,66.0,66.0
2.2333333333333334,70.0,,70.0,70.0,70.0,70.0,70.0,70.0
2.2666666666666666,66.0,12.727922061357855,57.0,75.0,57.9,61.5,70.5,74.1
2.3,69.5,4.949747468305833,66.0,73.0,66.35,67.75,71.25,72.65
2.3166666666666664,70.0,,70.0,70.0,70.0,70.0,70.0,70.0
2.3833333333333333,66.0,,66.0,66.0,66.0,66.0,66.0,66.0
2.4,68.0,,68.0,68.0,68.0,68.0,68.0,68.0
2.4166666666666665,75.0,,75.0,75.0,75.0,75.0,75.0,75.0
2.4333333333333336,81.0,,81.0,81.0,81.0,81.0,81.0,81.0
2.466666666666667,69.66666666666667,3.5118845842842448,66.0,73.0,66.4,68.0,71.5,72.7
2.5166666666666666,70.0,,70.0,70.0,70.0,70.0,70.0,70.0
2.55,66.0,,66.0,66.0,66.0,66.0,66.0,66.0
2.5666666666666664,81.0,,81.0,81.0,81.0,81.0,81.0,81.0
2.6,64.0,,64.0,64.0,64.0,64.0,64.0,64.0
2.6333333333333333,68.33333333333333,4.04145188432738,66.0,73.0,66.0,66.0,69.5,72.3
2.65,68.0,,68.0,68.0,68.0,68.0,68.0,68.0
2.6833333333333336,65.0,11.313708498984761,57.0,73.0,57.8,61.0,69.0,72.2
2.716666666666667,67.0,1.4142135623730951,66.0,68.0,66.1,66.5,67.5,67.9
2.75,73.0,,73.0,73.0,73.0,73.0,73.0,73.0
2.7666666666666666,73.0,,73.0,73.0,73.0,73.0,73.0,73.0
2.8,70.66666666666667,4.04145188432738,66.0,73.0,66.7,69.5,73.0,73.0
2.8333333333333335,70.0,,70.0,70.0,70.0,70.0,70.0,70.0
2.8833333333333333,69.0,4.242640687119285,66.0,72.0,66.3,67.5,70.5,71.7
2.9166666666666665,71.77586206896552,6.321900401176506,61.0,85.0,63.0,66.25,77.0,82.0
2.9333333333333336,71.6,6.014523808606575,56.0,83.0,61.0,67.0,76.0,80.0
2.966666666666667,71.0,4.87074305738195,58.0,80.0,63.35,68.0,74.0,78.64999999999999
2.9833333333333334,71.0,,71.0,71.0,71.0,71.0,71.0,71.0
3.0,73.5,4.949747468305833,70.0,77.0,70.35,71.75,75.25,76.65
3.0166666666666666,64.5,10.606601717798213,57.0,72.0,57.75,60.75,68.25,71.25
3.05,68.0,2.8284271247461903,66.0,70.0,66.2,67.0,69.0,69.8
3.0833333333333335,68.0,,68.0,68.0,68.0,68.0,68.0,68.0
3.1,64.5,10.606601717798213,57.0,72.0,57.75,60.75,68.25,71.25
3.1166666666666667,64.0,,64.0,64.0,64.0,64.0,64.0,64.0
3.1333333333333333,69.6,2.6076809620810604,66.0,72.0,66.4,68.0,72.0,72.0
3.1666666666666665,67.0,1.4142135623730951,66.0,68.0,66.1,66.5,67.5,67.9
3.183333333333333,73.66666666666667,2.88675134594813,72.0,77.0,72.0,72.0,74.5,76.5
3.2,82.0,,82.0,82.0,82.0,82.0,82.0,82.0
3.216666666666667,68.0,2.8284271247461903,66.0,70.0,66.2,67.0,69.0,69.8
3.25,68.0,,68.0,68.0,68.0,68.0,68.0,68.0
3.2666666666666666,72.0,0.0,72.0,72.0,72.0,72.0,72.0,72.0
3.3,68.0,3.346640106136303,64.0,72.0,64.5,66.0,71.0,72.0
3.3166666666666664,69.0,4.242640687119285,66.0,72.0,66.3,67.5,70.5,71.7
3.3333333333333335,71.5,10.606601717798213,64.0,79.0,64.75,67.75,75.25,78.25
3.35,73.66666666666667,4.72581562625261,70.0,79.0,70.2,71.0,75.5,78.3
3.3666666666666667,64.0,,64.0,64.0,64.0,64.0,64.0,64.0
3.3833333333333333,81.0,,81.0,81.0,81.0,81.0,81.0,81.0
3.4166666666666665,68.0,,68.0,68.0,68.0,68.0,68.0,68.0
3.4333333333333336,68.75,8.098353742170893,57.0,75.0,58.95,66.75,73.5,74.7
3.466666666666667,73.0,,73.0,73.0,73.0,73.0,73.0,73.0
3.5166666666666666,69.5,2.5166114784235845,66.0,72.0,66.6,69.0,70.5,71.7
3.533333333333333,68.0,,68.0,68.0,68.0,68.0,68.0,68.0
3.55,66.0,,66.0,66.0,66.0,66.0,66.0,66.0
3.5666666666666664,82.0,,82.0,82.0,82.0,82.0,82.0,82.0
3.6,70.0,,70.0,70.0,70.0,70.0,70.0,70.0
3.6166666666666667,65.0,1.4142135623730951,64.0,66.0,64.1,64.5,65.5,65.9
3.6333333333333333,73.0,,73.0,73.0,73.0,73.0,73.0,73.0
3.6833333333333336,71.0,1.4142135623730951,70.0,72.0,70.1,70.5,71.5,71.9
3.716666666666667,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
3.75,64.0,,64.0,64.0,64.0,64.0,64.0,64.0
3.7666666666666666,68.66666666666667,2.309401076758502,66.0,70.0,66.4,68.0,70.0,70.0
3.783333333333333,66.0,2.8284271247461903,64.0,68.0,64.2,65.0,67.0,67.8
3.8,68.66666666666667,3.0550504633038913,66.0,72.0,66.2,67.0,70.0,71.6
3.85,63.5,9.192388155425117,57.0,70.0,57.65,60.25,66.75,69.35
3.8666666666666667,63.5,0.7071067811865476,63.0,64.0,63.05,63.25,63.75,63.95
3.8833333333333333,68.8,3.03315017762062,64.0,72.0,64.8,68.0,70.0,71.6
3.9166666666666665,70.62295081967213,6.036455732812713,61.0,83.0,63.0,65.0,76.0,81.0
3.9333333333333336,70.78911564625851,5.741260532342442,56.0,82.0,60.0,67.0,75.0,79.0
3.966666666666667,70.25581395348837,4.748215879208497,58.0,79.0,63.0,67.0,74.0,78.0
4.016666666666667,69.0,2.000000000000001,66.0,70.0,66.6,69.0,70.0,70.0
4.033333333333333,64.0,,64.0,64.0,64.0,64.0,64.0,64.0
4.05,68.0,3.4641016151377544,66.0,72.0,66.0,66.0,69.0,71.4
4.083333333333333,64.0,,64.0,64.0,64.0,64.0,64.0,64.0
4.116666666666666,67.5,6.363961030678928,63.0,72.0,63.45,65.25,69.75,71.55
4.133333333333334,69.33333333333333,4.618802153517004,64.0,72.0,64.8,68.0,72.0,72.0
4.166666666666667,70.0,,70.0,70.0,70.0,70.0,70.0,70.0
4.183333333333334,71.5,2.1213203435596424,70.0,73.0,70.15,70.75,72.25,72.85
4.216666666666667,72.0,0.0,72.0,72.0,72.0,72.0,72.0,72.0
4.25,68.0,,68.0,68.0,68.0,68.0,68.0,68.0
4.266666666666667,67.33333333333333,3.0550504633038935,64.0,70.0,64.4,66.0,69.0,69.8
4.283333333333333,67.0,4.242640687119285,64.0,70.0,64.3,65.5,68.5,69.7
4.3,68.83333333333333,3.8166302763912903,63.0,72.0,63.75,66.5,72.0,72.0
4.333333333333333,64.0,,64.0,64.0,64.0,64.0,64.0,64.0
4.35,63.666666666666664,5.859465277082316,57.0,68.0,57.9,61.5,67.0,67.8
4.366666666666666,67.0,4.242640687119285,64.0,70.0,64.3,65.5,68.5,69.7
4.383333333333334,67.75,4.924428900898052,63.0,72.0,63.15,63.75,72.0,72.0
4.416666666666667,77.0,,77.0,77.0,77.0,77.0,77.0,77.0
4.433333333333334,70.0,1.632993161855452,68.0,72.0,68.3,69.5,70.5,71.7
4.45,68.0,,68.0,68.0,68.0,68.0,68.0,68.0
4.466666666666667,67.5,6.363961030678928,63.0,72.0,63.45,65.25,69.75,71.55
4.516666666666667,64.0,,64.0,64.0,64.0,64.0,64.0,64.0
4.533333333333333,66.5,4.949747468305833,63.0,70.0,63.35,64.75,68.25,69.65
4.55,68.0,2.449489742783179,66.0,72.0,66.0,66.0,68.0,71.2
4.566666666666666,64.0,,64.0,64.0,64.0,64.0,64.0,64.0
4.583333333333333,70.0,,70.0,70.0,70.0,70.0,70.0,70.0
4.6,69.6,8.820430828479978,57.0,77.0,58.4,64.0,77.0,77.0
4.616666666666667,66.5,4.949747468305833,63.0,70.0,63.35,64.75,68.25,69.65
4.633333333333333,72.0,,72.0,72.0,72.0,72.0,72.0,72.0
4.666666666666667,70.0,9.899494936611665,63.0,77.0,63.7,66.5,73.5,76.3
4.7,70.0,,70.0,70.0,70.0,70.0,70.0,70.0
4.766666666666667,70.0,2.0,68.0,72.0,68.2,69.0,71.0,71.8
4.783333333333333,68.2,3.6331804249169894,63.0,72.0,63.6,66.0,70.0,71.6
4.8,66.33333333333333,5.507570547286104,61.0,72.0,61.5,63.5,69.0,71.4
