hour_local,mean,std,min,max,p05,p25,p75,p95
0,28.926829268292682,6.9834494265655165,2.0,48.0,15.0,26.0,32.25,39.0
1,28.3203732503888,7.06225135866676,2.0,50.0,16.0,25.0,32.0,39.0
2,28.440068493150687,7.461726516196152,2.0,51.0,14.0,25.0,33.0,38.85000000000002
3,27.829044117647058,7.481235101413222,0.0,52.0,14.0,23.0,33.0,37.0
4,27.31851851851852,8.014274696709188,-1.0,50.0,13.0,22.0,32.0,38.0
5,26.94097222222222,7.872239950341247,-1.0,50.0,12.0,22.0,32.0,37.0
6,27.032085561497325,7.856005716726378,-2.0,49.0,13.0,22.0,32.0,37.0
7,26.912248628884825,7.754685211960913,-3.0,47.0,12.0,22.5,32.0,37.0
8,26.578358208955223,7.826949484573366,-3.0,46.0,10.75,22.0,32.0,37.0
9,27.087128712871287,7.639725741025175,-2.0,48.0,11.0,23.0,32.0,37.0
10,28.47695390781563,7.6500367442669415,0.0,48.0,12.900000000000002,25.0,33.0,39.0
11,30.008281573498966,7.469435212489696,1.0,49.0,15.0,27.0,34.5,41.0
12,31.90495867768595,6.314010202954177,5.0,49.0,21.0,30.0,36.0,42.0
13,32.54736842105263,6.400106178333084,8.0,51.0,21.0,30.0,37.0,42.299999999999955
14,32.951219512195124,6.225698869364095,10.0,52.0,23.0,30.0,37.0,43.0
15,33.87394957983193,6.103396289175039,11.0,59.0,23.75,30.0,37.0,44.0
16,33.51258581235698,6.336001108061611,9.0,59.0,23.0,30.0,37.0,44.0
17,32.85906040268456,6.569074305544835,7.0,57.0,20.3,30.0,37.0,43.0
18,30.778846153846153,6.589763666369069,5.0,51.0,18.0,28.0,35.0,41.0
19,30.44871794871795,6.246501244383105,4.0,51.0,18.0,28.0,34.0,40.0
20,29.861855670103093,6.342455713937474,4.0,48.0,18.0,27.0,34.0,39.0
21,29.238197424892704,6.6132093433524455,5.0,46.0,16.25,25.25,33.0,39.0
22,29.25910931174089,6.600269526750773,3.0,46.0,18.0,26.0,34.0,39.0
23,29.163636363636364,6.882140451591796,2.0,49.0,15.700000000000003,26.0,33.0,39.0
