hour_local,mean,std,min,max,p05,p25,p75,p95
0,89.80115273775216,6.096829351976649,69.0,103.0,78.3,87.0,94.0,98.0
1,88.39880952380952,5.675966489811337,68.0,102.0,79.0,85.0,92.0,97.0
2,86.972049689441,5.371190150809466,68.0,101.0,77.05,84.0,90.0,95.0
3,85.16307692307693,5.792277991471433,68.0,98.0,75.0,82.0,89.0,93.0
4,83.990625,5.524800702798482,68.0,97.0,75.0,80.0,88.0,92.0
5,82.1820895522388,5.742970849967227,68.0,96.0,72.0,78.0,87.0,90.0
6,81.5323076923077,5.362452557915767,68.0,94.0,72.0,78.0,86.0,89.0
7,80.67384615384616,5.280241440276794,68.0,97.0,72.0,77.0,84.0,89.0
8,80.95965417867436,5.595579169169488,68.0,92.0,72.0,77.0,85.0,90.0
9,84.88253012048193,5.574656364221064,69.0,95.0,73.0,82.0,89.0,92.44999999999999
10,88.9723076923077,5.566309250344017,70.0,100.0,78.0,87.0,93.0,96.0
11,91.89908256880734,6.452675700483909,70.0,104.0,77.0,90.0,96.0,100.0
12,95.41818181818182,6.555419788164641,70.0,109.0,83.45,93.0,100.0,103.0
13,97.94411764705882,5.997526096496267,72.0,109.0,87.0,96.0,101.0,106.0
14,100.22105263157894,5.42237901107095,75.0,112.0,90.95,98.0,104.0,107.05000000000001
15,101.46728971962617,5.768472426562038,75.0,114.0,90.35,99.0,105.0,109.0
16,102.4561797752809,6.200551324226324,74.0,114.0,92.0,100.0,106.0,109.79999999999995
17,102.88657407407408,6.014183184164787,75.0,115.0,94.0,100.0,107.0,111.0
18,102.52173913043478,5.950014618946793,76.0,114.0,91.0,100.0,106.0,110.0
19,100.77083333333333,6.746013876371106,74.0,113.0,87.15,98.0,105.0,109.0
20,99.05681818181819,6.551758346088277,70.0,112.0,86.0,96.0,103.0,107.0
21,95.62068965517241,7.4655657233135875,66.0,108.0,81.0,93.0,100.0,104.64999999999998
22,92.20107238605898,8.9072158091377,66.0,105.0,70.0,90.0,98.0,102.0
23,92.30421686746988,6.033209728373644,68.0,104.0,81.0,90.0,96.0,100.0
