hour_local,mean,std,min,max,p05,p25,p75,p95
0,60.208,6.4001537414689125,44.0,86.0,50.7,55.0,64.0,70.0
1,59.155080213903744,6.579072627836088,42.0,81.0,49.0,54.0,63.0,71.0
2,58.8041237113402,6.804223001292847,41.0,80.0,48.0,54.0,63.0,70.0
3,58.8963133640553,6.774550614683339,40.0,79.0,48.0,54.0,64.0,70.0
4,57.7995337995338,6.677966264291035,39.0,77.0,47.0,54.0,62.0,69.59999999999997
5,57.190140845070424,6.563284434515335,37.0,75.0,46.0,53.0,62.0,67.75
6,56.903301886792455,6.500233743271047,37.0,75.0,47.0,53.0,61.0,68.0
7,58.99511002444988,5.715902785823305,45.0,79.0,50.0,55.0,63.0,69.0
8,62.075,5.662996824086411,50.0,80.0,53.0,58.0,66.0,72.0
9,65.51963048498845,6.3326174926002725,52.0,86.0,57.0,61.0,70.0,77.0
10,68.43764705882353,7.674786833598479,52.0,95.0,57.0,63.0,74.0,82.0
11,71.27339901477832,8.121705821759916,55.0,99.0,59.0,65.0,76.75,84.0
12,73.48067632850241,8.75484582671006,55.0,100.0,60.0,67.0,80.0,88.0
13,75.56510416666667,9.613465914126463,55.0,101.0,61.0,68.0,82.0,90.0
14,77.02030456852792,9.70032364343629,55.0,102.0,61.0,71.0,83.0,93.0
15,77.73056994818653,9.842919437389432,55.0,103.0,62.0,71.25,84.0,93.0
16,78.38337801608579,9.453362737828071,55.0,104.0,63.0,72.0,85.0,93.39999999999998
17,78.00280112044818,9.271043054732049,55.0,104.0,63.0,73.0,84.0,93.0
18,76.20936639118457,9.389968809230137,53.0,103.0,59.0,71.0,82.0,90.89999999999998
19,73.54473684210527,8.532452324779118,53.0,97.0,57.95,68.0,80.0,85.05000000000001
20,69.51117318435755,7.085602103082026,52.0,90.0,57.0,64.0,74.0,80.0
21,65.74114441416894,6.5425068137564315,49.0,88.0,54.0,62.0,70.0,75.69999999999999
22,63.204787234042556,6.463277060022255,46.0,89.0,52.75,59.0,67.0,73.25
23,61.73224043715847,6.338350237547025,44.0,87.0,52.0,57.0,66.0,72.0
