hour_local,mean,std,min,max,p05,p25,p75,p95
0,56.52644230769231,6.473990433388306,39.0,76.0,46.75,53.0,61.0,67.25
1,54.596287703016245,5.976651092361437,38.0,72.0,45.0,51.0,58.0,64.0
2,53.1605415860735,5.593059626464378,36.0,72.0,43.0,50.0,56.0,63.0
3,52.36938775510204,5.373596895159681,36.0,67.0,42.0,49.0,56.0,61.0
4,51.44961240310077,5.415850509631964,36.0,65.0,41.0,49.0,55.0,60.0
5,50.553606237816766,5.534475724037552,36.0,64.0,39.0,47.0,54.0,59.0
6,49.975190839694655,5.354128065708527,34.0,63.0,39.0,46.0,54.0,57.0
7,49.036964980544745,5.481191953821606,31.0,61.0,37.650000000000006,46.0,53.0,57.0
8,48.74463937621832,5.622142982475594,31.0,63.0,38.0,45.0,53.0,57.0
9,49.146252285191956,5.741740335713191,31.0,65.0,38.3,46.0,53.0,57.0
10,50.537549407114625,5.5934520702255535,34.0,68.0,41.0,47.0,54.0,59.0
11,52.31325301204819,5.881993894359348,35.0,77.0,43.0,48.0,55.0,62.14999999999998
12,54.19521912350598,6.142822520207085,37.0,79.0,46.0,50.0,58.0,65.0
13,56.31237322515213,6.5871108628105235,37.0,77.0,46.0,52.0,61.0,68.0
14,57.881856540084385,7.187813266083504,40.0,81.0,46.0,54.0,63.0,71.34999999999997
15,59.66970387243736,7.416676732049518,41.0,85.0,49.0,55.0,64.0,74.0
16,60.79175704989154,7.445455088258987,44.0,85.0,50.0,55.0,65.0,74.0
17,61.76219512195122,7.698649183132424,45.0,86.0,50.0,56.0,67.0,75.0
18,62.58004158004158,7.584134811011792,44.0,87.0,51.0,57.0,68.0,77.0
19,62.527542372881356,7.954173676312031,42.0,88.0,50.0,57.0,68.0,77.44999999999999
20,62.57015590200445,7.854428927062946,40.0,88.0,51.0,57.0,68.0,76.59999999999997
21,61.96529284164859,7.535631978555699,39.0,88.0,51.0,57.0,66.0,76.0
22,60.69724770642202,7.327171397157848,39.0,87.0,50.0,55.0,64.25,74.0
23,58.927570093457945,7.083766888620196,39.0,82.0,49.0,54.0,63.0,72.0
