hour_local,mean,std,min,max,p05,p25,p75,p95
0,-6.166666666666667,17.38049631792616,-48.0,41.0,-37.65,-17.25,5.0,23.0
1,-7.271232876712329,17.520956678400545,-49.0,40.0,-38.0,-18.0,4.0,20.0
2,-7.619897959183674,17.705921444802303,-47.0,38.0,-38.45,-19.0,5.0,19.0
3,-7.185819070904645,17.44092815417084,-49.0,39.0,-38.0,-18.0,5.0,19.0
4,-7.909535452322738,17.295135098286465,-49.0,39.0,-38.199999999999996,-18.0,3.0,18.0
5,-8.541353383458647,18.08432701515007,-51.0,38.0,-40.0,-19.0,3.0,19.0
6,-8.764851485148515,17.74080413181424,-49.0,39.0,-39.849999999999994,-19.0,1.0,19.0
7,-8.903061224489797,18.29750701553231,-51.0,40.0,-40.45,-20.0,3.0,20.0
8,-8.619753086419752,18.790892172852093,-51.0,40.0,-39.8,-21.0,3.0,23.0
9,-8.680190930787589,19.09101504545661,-51.0,40.0,-40.0,-21.0,3.0,24.099999999999966
10,-9.298288508557457,19.546175143743394,-49.0,39.0,-41.0,-22.0,4.0,25.0
11,-9.485564304461942,19.69004361036539,-51.0,41.0,-41.0,-24.0,5.0,22.0
12,-10.41031941031941,18.790816110397387,-47.0,41.0,-40.0,-24.5,3.0,21.0
13,-9.037825059101655,18.405091171749557,-51.0,40.0,-37.9,-24.0,3.5,21.0
14,-8.145833333333334,18.19332168332471,-49.0,40.0,-38.0,-20.0,4.0,21.0
15,-6.687192118226601,18.08848439344458,-49.0,42.0,-37.0,-19.75,6.0,22.0
16,-5.764857881136951,18.350050618104678,-45.0,41.0,-34.7,-19.0,6.0,24.0
17,-5.9714285714285715,17.73493240418334,-47.0,40.0,-35.0,-19.0,5.0,21.0
18,-4.923076923076923,18.288960833784547,-45.0,39.0,-36.0,-16.0,5.0,24.599999999999966
19,-5.364102564102564,18.403803775537178,-45.0,37.0,-38.0,-17.0,5.0,25.549999999999955
20,-6.468421052631579,17.489734724098724,-47.0,40.0,-38.0,-17.0,5.0,21.0
21,-6.785123966942149,17.16279218399175,-45.0,38.0,-37.0,-18.0,4.0,21.0
22,-7.235294117647059,16.93711396542689,-45.0,37.0,-38.0,-18.0,3.0,21.0
23,-7.164305949008498,17.82207440091034,-47.0,35.0,-38.0,-18.0,4.0,22.399999999999977
