hour_local,KCBM_mean,KCBM_std,KCBM_min,KCBM_max,KCBM_p05,KCBM_p25,KCBM_p75,KCBM_p95,KDLF_mean,KDLF_std,KDLF_min,KDLF_max,KDLF_p05,KDLF_p25,KDLF_p75,KDLF_p95,KEDW_mean,KEDW_std,KEDW_min,KEDW_max,KEDW_p05,KEDW_p25,KEDW_p75,KEDW_p95,KEND_mean,KEND_std,KEND_min,KEND_max,KEND_p05,KEND_p25,KEND_p75,KEND_p95,KHIF_mean,KHIF_std,KHIF_min,KHIF_max,KHIF_p05,KHIF_p25,KHIF_p75,KHIF_p95,KLSV_mean,KLSV_std,KLSV_min,KLSV_max,KLSV_p05,KLSV_p25,KLSV_p75,KLSV_p95,KMIB_mean,KMIB_std,KMIB_min,KMIB_max,KMIB_p05,KMIB_p25,KMIB_p75,KMIB_p95,KRND_mean,KRND_std,KRND_min,KRND_max,KRND_p05,KRND_p25,KRND_p75,KRND_p95,PAEI_mean,PAEI_std,PAEI_min,PAEI_max,PAEI_p05,PAEI_p25,PAEI_p75,PAEI_p95
0,74.53886010362694,2.9427070753011644,63.0,84.0,70.0,73.0,77.0,79.0,82.41087613293051,5.100837972132013,70.0,93.0,75.0,78.0,87.0,90.0,78.82919254658385,4.697585245011518,64.0,91.0,71.0,76.0,82.0,86.0,75.15745856353591,5.319182049745406,59.0,89.0,67.0,72.0,79.0,84.0,72.4774011299435,5.82811375494868,51.0,88.0,63.0,69.0,77.0,81.0,89.80115273775216,6.096829351976649,69.0,103.0,78.3,87.0,94.0,98.0,60.208,6.4001537414689125,44.0,86.0,50.7,55.0,64.0,70.0,78.10602409638554,3.2672193187346177,70.0,89.0,73.0,76.0,80.0,83.29999999999995,56.52644230769231,6.473990433388306,39.0,76.0,46.75,53.0,61.0,67.25
1,73.82338308457712,3.277087463267905,62.0,84.0,68.0,72.0,76.0,79.0,81.27083333333333,4.6828853736650045,69.0,92.0,74.0,77.0,85.0,88.0,76.93690851735016,4.497797692579851,63.0,87.0,69.8,74.0,80.0,85.0,74.06459948320413,5.060101222881102,58.0,87.0,66.3,70.0,78.0,82.69999999999999,71.36467236467236,5.625280167580718,52.0,90.0,61.5,68.0,75.0,80.0,88.39880952380952,5.675966489811337,68.0,102.0,79.0,85.0,92.0,97.0,59.155080213903744,6.579072627836088,42.0,81.0,49.0,54.0,63.0,71.0,77.47587719298245,2.9973375178438566,69.0,88.0,73.0,75.0,79.0,82.0,54.596287703016245,5.976651092361437,38.0,72.0,45.0,51.0,58.0,64.0
2,73.17381974248927,3.2458147082243527,61.0,82.0,67.0,72.0,75.0,77.0,80.29518072289157,4.215161918295913,68.0,91.0,74.0,77.0,83.0,87.0,75.26461538461538,4.673025785345437,63.0,86.0,68.0,72.0,79.0,82.0,73.01790281329923,5.021204953024147,57.0,86.0,65.0,70.0,76.0,81.0,70.3,5.542102463277546,52.0,86.0,61.0,67.0,73.0,79.0,86.972049689441,5.371190150809466,68.0,101.0,77.05,84.0,90.0,95.0,58.8041237113402,6.804223001292847,41.0,80.0,48.0,54.0,63.0,70.0,76.90135396518376,2.9008048376030353,68.0,87.0,73.0,75.0,79.0,81.0,53.1605415860735,5.593059626464378,36.0,72.0,43.0,50.0,56.0,63.0
3,72.69351669941061,3.438488900020915,58.0,81.0,66.0,72.0,75.0,77.0,79.04545454545455,3.841323047566129,67.0,90.0,73.0,76.0,82.0,85.0,73.89538461538461,4.648922308716146,61.0,84.0,66.0,71.0,77.0,81.0,72.06649616368287,4.85699894145479,56.0,85.0,64.0,69.0,75.0,80.0,68.875,5.4572285350333365,52.0,84.0,59.0,65.75,72.0,77.0,85.16307692307693,5.792277991471433,68.0,98.0,75.0,82.0,89.0,93.0,58.8963133640553,6.774550614683339,40.0,79.0,48.0,54.0,64.0,70.0,76.81929824561404,2.6541699523295903,67.0,85.0,72.45,75.0,79.0,81.0,52.36938775510204,5.373596895159681,36.0,67.0,42.0,49.0,56.0,61.0
4,72.37099811676083,3.160461326188958,59.0,81.0,66.0,71.0,74.0,77.0,77.93575418994413,3.4744051528713444,65.0,87.0,72.0,75.0,80.0,83.0,72.82262996941895,4.73652837397856,60.0,83.0,65.0,70.0,76.0,80.69999999999999,71.2877030162413,4.802209962668132,57.0,83.0,64.0,68.0,75.0,80.0,67.69461077844312,5.214570225900159,52.0,80.0,59.0,64.0,71.0,76.0,83.990625,5.524800702798482,68.0,97.0,75.0,80.0,88.0,92.0,57.7995337995338,6.677966264291035,39.0,77.0,47.0,54.0,62.0,69.59999999999997,76.40487804878049,2.6365587351566875,67.0,84.0,72.0,75.0,79.0,81.0,51.44961240310077,5.415850509631964,36.0,65.0,41.0,49.0,55.0,60.0
5,72.38061041292639,3.235735322915541,57.0,81.0,66.0,72.0,74.0,77.0,77.03305785123968,3.0409740124107842,66.0,86.0,73.0,75.0,79.0,82.0,71.6344410876133,5.172411480151564,58.0,85.0,63.0,68.0,75.0,80.0,70.9504716981132,4.619815452205415,56.0,83.0,64.0,68.0,74.0,78.0,66.52857142857142,5.213827297485651,53.0,80.0,58.0,64.0,70.0,75.0,82.1820895522388,5.742970849967227,68.0,96.0,72.0,78.0,87.0,90.0,57.190140845070424,6.563284434515335,37.0,75.0,46.0,53.0,62.0,67.75,76.35319767441861,2.427155014219605,66.0,83.0,72.0,75.0,78.0,80.0,50.553606237816766,5.534475724037552,36.0,64.0,39.0,47.0,54.0,59.0
6,72.65886287625418,3.1384597644479015,56.0,81.0,66.85,72.0,75.0,77.0,76.10569105691057,2.8470417755428343,65.0,84.0,72.0,74.0,78.0,81.0,70.29102167182663,5.358178274262949,56.0,82.0,62.0,67.0,74.0,79.0,70.46650717703349,4.6130955031357725,54.0,82.0,63.0,68.0,73.0,78.0,65.61807580174927,5.150077479127954,53.0,84.0,56.0,63.0,69.0,74.0,81.5323076923077,5.362452557915767,68.0,94.0,72.0,78.0,86.0,89.0,56.903301886792455,6.500233743271047,37.0,75.0,47.0,53.0,61.0,68.0,76.12889518413597,2.4095762077707237,66.0,83.0,72.0,75.0,78.0,79.0,49.975190839694655,5.354128065708527,34.0,63.0,39.0,46.0,54.0,57.0
7,74.62610229276896,2.9533276692018458,62.0,83.0,70.0,73.0,77.0,79.0,76.44444444444444,2.8960105538178205,64.0,84.0,72.0,75.0,78.0,81.0,68.82352941176471,5.527995728023306,55.0,81.0,60.0,64.0,73.0,78.0,71.73015873015873,4.6990252927099965,57.0,82.0,64.0,68.0,75.0,79.0,64.85838150289017,5.138110150979532,52.0,81.0,56.25,62.0,68.0,73.0,80.67384615384616,5.280241440276794,68.0,97.0,72.0,77.0,84.0,89.0,58.99511002444988,5.715902785823305,45.0,79.0,50.0,55.0,63.0,69.0,76.34861111111111,2.413885023272377,67.0,85.0,72.0,75.0,78.0,80.0,49.036964980544745,5.481191953821606,31.0,61.0,37.650000000000006,46.0,53.0,57.0
8,76.96742671009773,3.7077909540444542,67.0,91.0,72.0,75.0,79.0,84.0,79.07692307692308,3.285745605535977,71.0,89.0,72.0,77.0,81.0,84.0,69.10835913312694,5.385512954553754,56.0,81.0,60.0,65.0,73.0,78.0,74.55844155844156,5.374742015353084,61.0,87.0,66.0,71.0,79.0,83.0,65.81194029850747,5.363759584717847,50.0,81.0,56.7,63.0,69.5,74.0,80.95965417867436,5.595579169169488,68.0,92.0,72.0,77.0,85.0,90.0,62.075,5.662996824086411,50.0,80.0,53.0,58.0,66.0,72.0,78.8078541374474,2.757695060391925,71.0,88.0,73.0,77.0,81.0,83.0,48.74463937621832,5.622142982475594,31.0,63.0,38.0,45.0,53.0,57.0
9,79.62956204379562,4.766542654323503,68.0,91.0,72.0,75.0,83.0,88.0,81.44266055045871,3.9080131394741002,72.0,94.0,73.0,79.0,84.0,87.0,73.71296296296296,5.152866152323712,59.0,84.0,65.15,70.0,78.0,82.0,77.54336734693878,6.280172744928548,61.0,91.0,66.55,73.0,82.0,88.0,68.88588588588588,5.060377522842118,50.0,82.0,60.6,66.0,72.0,77.0,84.88253012048193,5.574656364221064,69.0,95.0,73.0,82.0,89.0,92.44999999999999,65.51963048498845,6.3326174926002725,52.0,86.0,57.0,61.0,70.0,77.0,81.52446675031368,3.5720813187411506,69.0,94.0,73.0,81.0,84.0,86.0,49.146252285191956,5.741740335713191,31.0,65.0,38.3,46.0,53.0,57.0
