identifier,hour_local,mean,std,min,max,p05,p25,p75,p95
KCBM,0,74.53886010362694,2.942707075301163,63.0,84.0,70.0,73.0,77.0,79.0
KCBM,1,73.82338308457712,3.277087463267905,62.0,84.0,68.0,72.0,76.0,79.0
KCBM,2,73.17381974248927,3.2458147082243505,61.0,82.0,67.0,72.0,75.0,77.0
KCBM,3,72.69351669941061,3.4384889000209142,58.0,81.0,66.0,72.0,75.0,77.0
KCBM,4,72.37099811676083,3.1604613261889587,59.0,81.0,66.0,71.0,74.0,77.0
KCBM,5,72.38061041292639,3.235735322915538,57.0,81.0,66.0,72.0,74.0,77.0
KCBM,6,72.65886287625418,3.138459764447902,56.0,81.0,66.85,72.0,75.0,77.0
KCBM,7,74.62610229276896,2.9533276692018413,62.0,83.0,70.0,73.0,77.0,79.0
KCBM,8,76.96742671009773,3.7077909540444556,67.0,91.0,72.0,75.0,79.0,84.0
KCBM,9,79.62956204379562,4.766542654323508,68.0,91.0,72.0,75.0,83.0,88.0
KCBM,10,82.30265486725663,5.0674958525664895,68.0,95.0,74.0,79.0,86.0,91.0
KCBM,11,84.1595394736842,5.327112689473258,70.0,97.0,73.0,81.0,88.0,92.0
KCBM,12,85.12993421052632,5.693537363161327,72.0,98.0,75.0,81.0,89.0,93.0
KCBM,13,85.53697183098592,6.118065824944886,72.0,100.0,75.0,81.0,90.0,95.0
KCBM,14,85.98371335504886,5.914816347119124,72.0,101.0,76.65,81.0,90.0,95.0
KCBM,15,85.86042402826855,6.5678182283052555,72.0,100.0,75.0,81.0,91.0,95.0
KCBM,16,85.03896103896103,6.964084951804604,72.0,99.0,73.0,79.0,91.0,95.0
KCBM,17,83.69005847953217,6.458660503880504,72.0,98.0,73.0,78.0,89.0,94.0
KCBM,18,81.9085239085239,5.6072822910581825,70.0,95.0,73.0,78.0,86.0,92.0
KCBM,19,79.56347438752783,4.372816031408528,70.0,91.0,73.0,76.0,82.0,88.0
KCBM,20,77.53376906318083,3.4635426809675116,67.0,89.0,73.0,75.0,80.0,83.0
KCBM,21,76.68819599109132,3.0142324000484355,67.0,87.0,72.0,75.0,79.0,81.0
KCBM,22,75.69099756690997,3.1225992499204605,66.0,86.0,71.0,74.0,78.0,80.5
KCBM,23,74.93622448979592,3.109841490785831,55.0,84.0,70.0,73.0,77.0,79.0
KDLF,0,82.41087613293051,5.100837972132009,70.0,93.0,75.0,78.0,87.0,90.0
KDLF,1,81.27083333333333,4.682885373664998,69.0,92.0,74.0,77.0,85.0,88.0
KDLF,2,80.29518072289157,4.215161918295909,68.0,91.0,74.0,77.0,83.0,87.0
