hour_local,KCBM_mean,KCBM_std,KCBM_min,KCBM_max,KCBM_p05,KCBM_p25,KCBM_p75,KCBM_p95,KDLF_mean,KDLF_std,KDLF_min,KDLF_max,KDLF_p05,KDLF_p25,KDLF_p75,KDLF_p95,KEDW_mean,KEDW_std,KEDW_min,KEDW_max,KEDW_p05,KEDW_p25,KEDW_p75,KEDW_p95,KEND_mean,KEND_std,KEND_min,KEND_max,KEND_p05,KEND_p25,KEND_p75,KEND_p95,KHIF_mean,KHIF_std,KHIF_min,KHIF_max,KHIF_p05,KHIF_p25,KHIF_p75,KHIF_p95,KLSV_mean,KLSV_std,KLSV_min,KLSV_max,KLSV_p05,KLSV_p25,KLSV_p75,KLSV_p95,KMIB_mean,KMIB_std,KMIB_min,KMIB_max,KMIB_p05,KMIB_p25,KMIB_p75,KMIB_p95,KRND_mean,KRND_std,KRND_min,KRND_max,KRND_p05,KRND_p25,KRND_p75,KRND_p95,PAEI_mean,PAEI_std,PAEI_min,PAEI_max,PAEI_p05,PAEI_p25,PAEI_p75,PAEI_p95
0,45.65892857142857,12.716803594541824,10.0,70.0,24.950000000000003,36.0,57.0,64.0,47.056022408963585,8.960098745414937,24.0,69.0,32.0,41.0,53.0,62.0,42.11849710982659,5.833472036072841,28.0,57.0,32.0,38.0,46.0,52.0,32.7814910025707,9.997735147545173,2.0,60.0,14.0,27.0,39.0,48.0,28.926829268292682,6.9834494265655165,2.0,48.0,15.0,26.0,32.25,39.0,45.46496815286624,5.482506204294955,31.0,59.0,36.0,42.0,49.0,55.0,11.473214285714286,14.737348388362626,-32.0,41.0,-12.0,0.0,22.0,33.0,51.23157894736842,9.527449159400907,21.0,73.0,35.0,45.0,59.0,66.0,-6.166666666666667,17.38049631792616,-48.0,41.0,-37.65,-17.25,5.0,23.0
1,45.341421143847484,12.502342838406964,8.0,70.0,24.8,37.0,56.0,63.0,46.632,9.280710833922564,22.0,70.0,32.0,40.5,54.0,61.0,41.47308781869688,6.24636128948232,27.0,58.0,31.0,37.0,46.0,52.0,32.145833333333336,10.367884905989591,1.0,60.0,14.0,26.75,38.0,49.849999999999966,28.3203732503888,7.06225135866676,2.0,50.0,16.0,25.0,32.0,39.0,44.722397476340696,5.798726119904655,29.0,59.0,34.8,41.0,49.0,55.0,11.671111111111111,14.76507379283605,-33.0,39.0,-13.549999999999997,0.0,23.0,32.0,49.756388415672916,9.807025720732106,21.0,72.0,33.0,43.0,57.0,64.0,-7.271232876712329,17.520956678400545,-49.0,40.0,-38.0,-18.0,4.0,20.0
2,44.51582867783985,13.200386941428256,9.0,71.0,23.8,35.0,55.0,64.0,46.01813471502591,9.405838620135823,22.0,70.0,31.0,40.0,52.0,61.0,40.38823529411765,6.456286625810604,23.0,58.0,30.0,36.0,45.0,51.0,31.30690537084399,10.235580395841769,1.0,60.0,13.0,25.5,38.0,50.0,28.440068493150687,7.461726516196152,2.0,51.0,14.0,25.0,33.0,38.85000000000002,44.09508196721311,5.910027891707388,27.0,59.0,34.0,40.0,48.0,53.0,10.20215053763441,14.965693372638684,-32.0,40.0,-14.0,0.0,22.0,33.0,50.260096930533116,10.401263645705866,18.0,72.0,33.0,43.0,59.0,66.0,-7.619897959183674,17.705921444802303,-47.0,38.0,-38.45,-19.0,5.0,19.0
3,43.419962335216574,13.266737267860087,9.0,80.0,23.0,34.0,55.0,63.0,45.102094240837694,9.219547065668806,20.0,70.0,30.0,38.0,52.0,60.0,39.58997050147492,6.729341804618607,22.0,57.0,28.0,35.0,44.0,51.0,31.79527559055118,10.033631799847079,1.0,57.0,14.0,26.0,38.0,49.0,27.829044117647058,7.481235101413222,0.0,52.0,14.0,23.0,33.0,37.0,43.614197530864196,6.125310301448748,26.0,57.0,34.0,39.0,48.0,54.0,11.25625,15.115524603176283,-34.0,39.0,-18.0,0.75,22.0,33.0,49.37128712871287,10.411330477297486,18.0,72.0,32.0,43.0,57.0,66.0,-7.185819070904645,17.44092815417084,-49.0,39.0,-38.0,-18.0,5.0,19.0
4,43.587272727272726,13.444570880961866,7.0,79.0,23.450000000000003,33.25,53.0,65.09999999999991,45.89876543209876,9.936537409972962,20.0,70.0,30.0,38.0,53.0,62.799999999999955,38.830028328611895,6.871342353414764,20.0,56.0,28.0,34.0,44.0,50.0,31.997560975609755,10.58127209838162,1.0,57.0,14.0,26.0,37.75,50.0,27.31851851851852,8.014274696709188,-1.0,50.0,13.0,22.0,32.0,38.0,42.37620578778135,6.045255116906359,27.0,56.0,32.0,38.0,46.0,52.0,11.364406779661017,15.223969955910574,-34.0,42.0,-16.0,0.0,23.0,33.0,49.74570982839314,10.855553784672558,18.0,72.0,32.0,41.0,58.0,66.0,-7.909535452322738,17.295135098286465,-49.0,39.0,-38.199999999999996,-18.0,3.0,18.0
5,42.86641929499072,12.776632814503714,7.0,79.0,24.0,33.5,52.0,63.0,44.97094430992736,9.786017780947827,19.0,70.0,29.6,38.0,52.0,61.0,38.06145251396648,7.011125221809265,19.0,55.0,27.0,32.0,43.0,50.0,31.10487804878049,10.50305465450676,0.0,59.0,14.0,25.0,36.0,50.0,26.94097222222222,7.872239950341247,-1.0,50.0,12.0,22.0,32.0,37.0,41.80120481927711,6.202250716625375,25.0,57.0,32.0,37.0,46.0,52.0,10.819354838709678,15.05140801398858,-34.0,42.0,-15.0,0.0,22.0,32.799999999999955,50.181666666666665,11.19318883738997,18.0,71.0,31.0,42.0,59.0,68.0,-8.541353383458647,18.08432701515007,-51.0,38.0,-40.0,-19.0,3.0,19.0
6,43.2991452991453,13.419894859325797,7.0,73.0,24.0,32.0,54.0,63.799999999999955,45.13832199546485,9.748491999730556,19.0,69.0,30.0,38.0,52.0,61.0,37.716621253406,7.346336325362419,17.0,54.0,27.0,32.0,44.0,50.0,30.20822622107969,10.704817982159543,-1.0,59.0,13.400000000000002,24.0,36.0,47.0,27.032085561497325,7.856005716726378,-2.0,49.0,13.0,22.0,32.0,37.0,41.210031347962385,6.271360454375092,26.0,57.0,31.0,36.5,46.0,52.0,11.357777777777779,15.239688381163235,-36.0,41.0,-15.549999999999997,1.0,23.0,32.0,48.69409937888199,11.17684353386349,16.0,72.0,31.15,41.0,56.0,66.0,-8.764851485148515,17.74080413181424,-49.0,39.0,-39.849999999999994,-19.0,1.0,19.0
7,45.291866028708135,12.400761887648814,10.0,73.0,27.0,35.0,55.0,64.0,45.43636363636364,9.985185935529495,19.0,68.0,31.0,38.0,52.0,63.0,36.816901408450704,7.719865523760209,18.0,56.0,25.0,31.0,43.0,50.0,30.365967365967364,10.519401648207737,-4.0,57.0,12.0,25.0,36.0,48.0,26.912248628884825,7.754685211960913,-3.0,47.0,12.0,22.5,32.0,37.0,40.85126582278481,6.425151346169007,25.0,59.0,30.75,36.0,46.0,51.25,9.963190184049079,14.64213389106375,-36.0,40.0,-17.0,0.0,21.0,30.599999999999966,48.267343485617594,10.8836496658802,17.0,72.0,31.0,41.0,55.5,65.5,-8.903061224489797,18.29750701553231,-51.0,40.0,-40.45,-20.0,3.0,20.0
8,46.77504393673111,11.472963136900246,12.0,76.0,30.0,39.0,55.0,64.0,47.38028169014085,8.49894760569576,21.0,69.0,34.0,41.0,53.0,63.0,36.61473087818697,7.917831465245188,16.0,56.0,24.0,31.0,43.0,50.0,32.640776699029125,9.93076212474346,3.0,59.0,14.0,27.75,38.0,50.0,26.578358208955223,7.826949484573366,-3.0,46.0,10.75,22.0,32.0,37.0,40.644171779141104,6.727835159048136,24.0,58.0,31.0,35.0,46.0,51.75,9.644308943089431,14.503651767494649,-36.0,39.0,-16.45,0.0,21.0,30.0,51.07005253940455,9.907572675132103,21.0,71.0,34.5,44.5,59.0,65.0,-8.619753086419752,18.790892172852093,-51.0,40.0,-39.8,-21.0,3.0,23.0
9,48.32844036697248,10.365224768986096,16.0,77.0,31.200000000000003,41.0,55.0,64.0,51.363013698630134,8.065702853536763,24.0,72.0,37.0,46.0,57.0,64.0,38.3768115942029,7.397166037470821,19.0,56.0,28.0,33.0,44.0,51.0,35.45454545454545,9.995538853799788,3.0,61.0,17.0,31.0,41.0,51.0,27.087128712871287,7.639725741025175,-2.0,48.0,11.0,23.0,32.0,37.0,42.67528735632184,6.424087297952361,27.0,60.0,33.0,38.0,48.0,52.0,10.319915254237289,13.806110588772135,-32.0,40.0,-15.0,1.0,21.0,31.0,53.540636042402824,9.274435829133557,22.0,73.0,36.0,48.0,59.0,66.0,-8.680190930787589,19.09101504545661,-51.0,40.0,-40.0,-21.0,3.0,24.099999999999966
