hour_local,KDLF_mean,KDLF_std,KDLF_min,KDLF_max,KDLF_p05,KDLF_p25,KDLF_p75,KDLF_p95,KEND_mean,KEND_std,KEND_min,KEND_max,KEND_p05,KEND_p25,KEND_p75,KEND_p95
0,47.056022408963585,8.960098745414937,24.0,69.0,32.0,41.0,53.0,62.0,32.7814910025707,9.997735147545173,2.0,60.0,14.0,27.0,39.0,48.0
1,46.632,9.280710833922564,22.0,70.0,32.0,40.5,54.0,61.0,32.145833333333336,10.367884905989591,1.0,60.0,14.0,26.75,38.0,49.849999999999966
2,46.01813471502591,9.405838620135823,22.0,70.0,31.0,40.0,52.0,61.0,31.30690537084399,10.235580395841769,1.0,60.0,13.0,25.5,38.0,50.0
3,45.102094240837694,9.219547065668806,20.0,70.0,30.0,38.0,52.0,60.0,31.79527559055118,10.033631799847079,1.0,57.0,14.0,26.0,38.0,49.0
4,45.89876543209876,9.936537409972962,20.0,70.0,30.0,38.0,53.0,62.799999999999955,31.997560975609755,10.58127209838162,1.0,57.0,14.0,26.0,37.75,50.0
5,44.97094430992736,9.786017780947827,19.0,70.0,29.6,38.0,52.0,61.0,31.10487804878049,10.50305465450676,0.0,59.0,14.0,25.0,36.0,50.0
6,45.13832199546485,9.748491999730556,19.0,69.0,30.0,38.0,52.0,61.0,30.20822622107969,10.704817982159543,-1.0,59.0,13.400000000000002,24.0,36.0,47.0
7,45.43636363636364,9.985185935529495,19.0,68.0,31.0,38.0,52.0,63.0,30.365967365967364,10.519401648207737,-4.0,57.0,12.0,25.0,36.0,48.0
8,47.38028169014085,8.49894760569576,21.0,69.0,34.0,41.0,53.0,63.0,32.640776699029125,9.93076212474346,3.0,59.0,14.0,27.75,38.0,50.0
9,51.363013698630134,8.065702853536763,24.0,72.0,37.0,46.0,57.0,64.0,35.45454545454545,9.995538853799788,3.0,61.0,17.0,31.0,41.0,51.0
10,54.112941176470585,8.45054687628701,25.0,73.0,39.0,49.0,61.0,66.0,38.46719160104987,11.502498572394142,1.0,63.0,18.0,32.0,46.0,57.0
11,56.35,8.990786851551087,28.0,75.0,40.0,51.0,64.0,70.0,40.798898071625345,12.551806407297194,1.0,66.0,18.0,32.5,50.0,61.0
12,58.67624020887728,10.016982149165665,29.0,79.0,39.1,53.5,66.0,73.89999999999998,42.74785100286533,13.02956528507248,3.0,70.0,20.0,34.0,52.0,62.599999999999966
13,60.6781914893617,10.832551090143415,29.0,83.0,39.0,54.75,68.0,77.0,44.292957746478876,12.72476259247821,5.0,74.0,22.0,35.0,54.0,63.0
14,62.258426966292134,10.768004865628557,30.0,85.0,41.75,55.0,70.0,78.0,45.56797583081571,12.926742370549729,6.0,77.0,22.5,37.0,55.0,64.0
15,62.58760107816712,11.390359005916999,31.0,86.0,42.0,55.0,70.0,80.0,45.23598820058997,12.89639197100037,8.0,76.0,23.0,36.0,54.5,65.0
16,62.55813953488372,10.967595685890378,31.0,86.0,43.0,54.0,71.0,78.84999999999997,43.90030211480362,12.68089830124948,8.0,72.0,21.5,34.0,53.0,64.0
17,60.42201834862385,9.786017549138922,31.0,81.0,42.0,54.0,67.5,75.0,39.70180722891566,10.872715777839858,6.0,63.0,20.0,32.0,47.0,56.0
18,55.83,8.746204145600634,30.0,78.0,38.95,51.0,61.0,69.05000000000001,37.732044198895025,10.500627640823513,5.0,61.0,19.05,32.0,45.0,54.0
19,53.12732919254658,7.9526988508801235,30.0,73.0,37.0,48.25,58.0,65.0,36.363143631436316,9.913667930178889,4.0,60.0,18.0,32.0,42.0,51.599999999999966
20,51.49271137026239,7.822170429574824,29.0,74.0,37.0,47.0,57.0,64.89999999999998,35.04034582132565,10.31097893438175,3.0,62.0,12.0,30.0,41.0,51.0
21,49.92857142857143,8.038721931331787,29.0,71.0,36.0,45.0,55.0,64.0,34.333333333333336,10.203274670237823,3.0,60.0,13.100000000000001,28.0,41.0,48.89999999999998
22,49.01169590643275,8.448906853995403,28.0,71.0,36.0,43.0,54.0,63.0,34.137741046831955,10.012300852636082,1.0,60.0,16.0,28.5,40.0,49.0
23,47.815561959654175,8.729757090526016,24.0,70.0,33.3,42.0,54.0,62.0,33.570332480818415,10.109885471564326,1.0,61.0,14.5,28.0,39.0,49.5
