hour_local,mean,std,min,max,p05,p25,p75,p95
0,45.65892857142857,12.716803594541824,10.0,70.0,24.950000000000003,36.0,57.0,64.0
1,45.341421143847484,12.502342838406964,8.0,70.0,24.8,37.0,56.0,63.0
2,44.51582867783985,13.200386941428256,9.0,71.0,23.8,35.0,55.0,64.0
3,43.419962335216574,13.266737267860087,9.0,80.0,23.0,34.0,55.0,63.0
4,43.587272727272726,13.444570880961866,7.0,79.0,23.450000000000003,33.25,53.0,65.09999999999991
5,42.86641929499072,12.776632814503714,7.0,79.0,24.0,33.5,52.0,63.0
6,43.2991452991453,13.419894859325797,7.0,73.0,24.0,32.0,54.0,63.799999999999955
7,45.291866028708135,12.400761887648814,10.0,73.0,27.0,35.0,55.0,64.0
8,46.77504393673111,11.472963136900246,12.0,76.0,30.0,39.0,55.0,64.0
9,48.32844036697248,10.365224768986096,16.0,77.0,31.200000000000003,41.0,55.0,64.0
10,49.788808664259925,10.65862618448267,18.0,77.0,32.0,43.0,57.0,66.0
11,51.12903225806452,11.06558617293582,19.0,81.0,32.0,45.0,59.0,68.0
12,52.096296296296295,11.087524336145757,22.0,80.0,33.95,45.0,61.0,69.04999999999995
13,53.35671342685371,10.830058665716065,23.0,81.0,35.0,46.0,61.5,70.0
14,53.44331983805668,10.448746050474837,23.0,80.0,35.0,46.0,61.0,70.0
15,52.721518987341774,10.778692522145418,24.0,81.0,36.0,45.0,61.0,71.0
16,51.84886128364389,10.706763565383946,22.0,78.0,34.0,45.0,60.0,68.89999999999998
17,48.35260115606936,10.657576019837188,21.0,77.0,29.900000000000002,42.0,55.0,64.19999999999993
18,47.38979591836735,11.130252164739982,19.0,74.0,28.0,40.0,55.0,63.549999999999955
19,45.81139489194499,10.980108528000384,17.0,73.0,28.0,38.0,54.0,63.0
20,44.82956878850103,11.437867060780766,17.0,73.0,27.0,37.0,52.5,63.0
21,45.43869731800766,13.479673922180863,15.0,81.0,23.0,36.0,56.5,68.0
22,46.52173913043478,13.461360926231421,15.0,80.0,24.0,37.0,57.0,66.0
23,46.16549295774648,12.602066098484308,12.0,79.0,26.0,37.0,57.0,64.0
