hour_local,mean,std,min,max,p05,p25,p75,p95
0,82.41087613293051,5.100837972132013,70.0,93.0,75.0,78.0,87.0,90.0
1,81.27083333333333,4.6828853736650045,69.0,92.0,74.0,77.0,85.0,88.0
2,80.29518072289157,4.215161918295913,68.0,91.0,74.0,77.0,83.0,87.0
3,79.04545454545455,3.841323047566129,67.0,90.0,73.0,76.0,82.0,85.0
4,77.93575418994413,3.4744051528713444,65.0,87.0,72.0,75.0,80.0,83.0
5,77.03305785123968,3.0409740124107842,66.0,86.0,73.0,75.0,79.0,82.0
6,76.10569105691057,2.8470417755428343,65.0,84.0,72.0,74.0,78.0,81.0
7,76.44444444444444,2.8960105538178205,64.0,84.0,72.0,75.0,78.0,81.0
8,79.07692307692308,3.285745605535977,71.0,89.0,72.0,77.0,81.0,84.0
9,81.44266055045871,3.9080131394741002,72.0,94.0,73.0,79.0,84.0,87.0
10,84.18568232662193,4.703206702771186,72.0,100.0,73.0,82.0,87.0,91.0
11,87.06619385342789,5.3719798242802455,73.0,103.0,75.0,84.0,91.0,94.0
12,89.87857142857143,6.275840546515797,70.0,106.0,76.95,87.0,94.0,97.0
13,92.6421052631579,6.756955768296763,71.0,107.0,77.0,90.0,97.0,100.0
14,95.23008849557522,6.470823276246792,70.0,108.0,81.0,93.0,99.0,102.0
15,96.29006085192698,6.937514564281863,70.0,110.0,82.0,94.0,101.0,104.0
16,96.84368308351178,7.1812208702213045,72.0,109.0,81.0,95.0,102.0,104.0
17,95.43006263048017,8.546134595433536,73.0,110.0,75.0,92.0,101.0,104.0
18,93.68837209302326,9.10291352478857,74.0,109.0,75.0,88.0,100.0,104.0
19,91.1413612565445,8.546363671198687,73.0,108.0,75.0,85.0,98.0,101.94999999999999
20,88.13081395348837,7.006268199814703,72.0,101.0,75.0,83.0,94.0,98.0
21,86.08761329305136,5.903378389327615,73.0,99.0,75.0,82.0,91.0,94.0
22,84.53432835820895,5.4507471398768725,73.0,97.0,75.0,80.0,89.0,93.0
23,83.32326283987915,5.380213715517747,71.0,96.0,75.0,79.0,88.0,91.0
