hour_local,mean,std,min,max,p05,p25,p75,p95
0,46.39393939393939,9.470555762980288,24.0,66.0,32.0,40.0,52.0,63.79999999999998
1,46.402234636871505,9.490101024238584,22.0,64.0,29.9,40.0,55.0,61.0
2,44.87647058823529,9.241149894621852,23.0,64.0,30.0,39.0,51.0,60.0
3,44.40909090909091,9.215063895459577,23.0,63.0,29.0,38.0,49.0,60.25
4,45.150837988826815,9.903162408964318,21.0,64.0,28.0,38.0,52.0,61.0
5,43.94086021505376,9.55619212367975,21.0,64.0,28.0,37.0,49.0,60.75
6,44.29064039408867,9.452290889155478,20.0,64.0,29.1,37.0,52.5,59.0
7,44.967289719626166,9.406014215278216,19.0,64.0,28.65,38.0,52.0,60.349999999999994
8,46.794871794871796,8.810079417300893,21.0,64.0,33.7,42.0,52.0,61.0
9,50.83419689119171,7.781084938181733,24.0,68.0,37.6,45.0,57.0,62.0
10,53.19387755102041,8.561881129590448,25.0,70.0,39.75,48.0,60.0,65.0
11,56.41988950276243,9.339904947705143,30.0,73.0,40.0,50.0,64.0,70.0
12,58.40588235294118,10.356655841668372,32.0,79.0,39.0,52.0,66.0,74.0
13,60.77401129943503,11.202921811452047,35.0,81.0,39.0,54.0,69.0,77.0
14,62.2375,11.122241018923248,37.0,82.0,39.0,54.0,70.0,77.04999999999998
15,63.27428571428572,11.357521758403585,37.0,84.0,41.0,58.0,70.5,80.0
16,63.07453416149068,11.117864450418898,37.0,83.0,41.0,57.0,71.0,79.0
17,60.5503355704698,10.105815987762863,36.0,80.0,41.4,55.0,68.0,76.0
18,55.899328859060404,8.875828828023005,36.0,74.0,39.0,51.0,62.0,69.0
19,53.75,7.885981846125401,35.0,72.0,38.0,50.0,58.25,67.0
20,51.859756097560975,8.015236407247949,32.0,74.0,37.15,47.75,57.0,65.0
21,50.044871794871796,8.20884098433135,29.0,71.0,36.0,45.0,55.0,64.0
22,49.069182389937104,8.343207270296656,28.0,68.0,36.0,44.0,54.0,63.099999999999994
23,47.67741935483871,9.137432277270289,24.0,66.0,33.0,42.0,53.5,63.0
