hour_local,mean,std,min,max,p05,p25,p75,p95
0,78.48275862068965,5.816360482387903,68.0,88.0,68.4,75.0,83.0,86.0
1,76.53333333333333,5.917439645152548,66.0,86.0,67.0,72.25,81.75,85.0
2,74.53333333333333,5.775891233414098,64.0,83.0,65.45,70.25,79.75,82.55
3,73.20689655172414,6.055571875464477,61.0,83.0,63.6,69.0,78.0,82.0
4,72.63333333333334,6.127852373600703,60.0,81.0,62.9,68.25,78.75,81.0
5,70.87096774193549,6.505084859727665,58.0,81.0,61.0,66.0,76.0,80.5
6,69.0,7.129346828910523,56.0,80.0,58.35,64.0,75.75,79.55
7,66.6875,6.953474415830763,55.0,79.0,56.1,60.0,73.0,76.45
8,67.70967741935483,7.10489759901387,56.0,79.0,57.0,62.0,74.0,77.5
9,74.1470588235294,7.291058670857708,59.0,84.0,62.0,68.0,80.75,84.0
10,80.125,7.060795897749593,67.0,91.0,68.55,74.5,87.0,89.0
11,86.0,7.275816105427625,72.0,98.0,73.6,81.0,92.0,95.4
12,90.27272727272727,6.8841880751868985,74.0,101.0,78.6,87.0,95.0,100.0
13,93.58823529411765,6.981002997567752,77.0,105.0,81.65,90.25,98.0,103.0
14,96.65714285714286,5.945551263922696,81.0,107.0,84.7,94.0,100.5,105.0
15,98.02857142857142,6.595389273110837,83.0,109.0,83.7,95.0,102.0,107.3
16,99.88235294117646,6.255977533684142,84.0,110.0,86.3,98.0,104.75,107.35
17,99.95,6.238630684734653,84.0,110.0,86.95,97.0,104.0,108.05
18,99.48571428571428,6.554618616676642,83.0,109.0,85.7,97.0,104.0,109.0
19,96.96875,6.244917288121906,81.0,106.0,84.2,94.0,101.25,104.45
20,93.2258064516129,6.092124300654384,78.0,103.0,81.0,91.0,97.0,100.5
21,88.12121212121212,6.243784788479536,73.0,97.0,77.0,85.0,93.0,96.4
22,84.38709677419355,5.5777977694596705,71.0,92.0,74.0,81.5,89.0,92.0
23,81.55172413793103,5.717055978739363,69.0,90.0,70.8,78.0,86.0,89.0
