hour_local,mean,std,min,max,p05,p25,p75,p95
0,41.745098039215684,6.044276775077903,29.0,55.0,31.0,38.0,47.0,51.0
1,41.4625,6.3887553536313675,27.0,54.0,30.95,37.0,47.0,51.0
2,39.86184210526316,6.4243425123996944,26.0,55.0,30.0,35.0,45.0,50.0
3,39.14,6.905916148661882,23.0,56.0,28.0,34.0,44.0,50.0
4,38.39354838709677,7.109073015898116,24.0,56.0,26.7,33.0,44.0,49.0
5,37.325,7.059985568428244,21.0,54.0,26.0,32.0,43.0,48.0
6,37.36024844720497,7.618688203220304,22.0,54.0,26.0,32.0,44.0,48.0
7,36.19463087248322,7.9675675798734975,19.0,55.0,24.0,30.0,44.0,48.0
8,35.25850340136054,7.632023767386159,18.0,55.0,24.0,29.0,41.0,48.0
9,37.5472972972973,7.244359250135696,24.0,54.0,26.35,32.0,43.0,49.0
10,41.21830985915493,6.708855370745137,27.0,56.0,31.0,36.0,46.0,51.0
11,45.673202614379086,5.8678764936051335,32.0,62.0,36.0,41.0,50.0,55.0
12,49.467532467532465,5.32618249924642,36.0,65.0,42.0,46.0,53.0,57.349999999999994
13,52.43835616438356,5.684792299289851,39.0,67.0,44.0,48.0,56.0,62.75
14,55.086666666666666,5.971899146699023,43.0,72.0,46.0,51.0,59.0,65.0
15,56.923611111111114,6.220965973055764,42.0,73.0,47.0,52.75,61.0,66.0
16,57.363013698630134,6.326605165801715,40.0,75.0,48.0,52.25,61.0,68.25
17,56.53846153846154,6.293042470217482,40.0,73.0,47.0,51.5,61.0,67.80000000000001
18,53.375,5.602041336233349,39.0,68.0,45.0,49.0,57.0,63.0
19,49.528169014084504,4.882583989134028,38.0,61.0,42.05,46.0,53.0,57.94999999999999
20,46.86363636363637,4.700254730710987,35.0,57.0,39.0,44.0,51.0,54.0
21,45.15068493150685,5.030037314941352,31.0,56.0,37.0,42.0,49.0,54.0
22,43.751724137931035,5.223519240579573,32.0,56.0,35.2,40.0,48.0,52.0
23,42.583941605839414,5.627718082855118,30.0,54.0,33.0,38.0,47.0,52.0
