hour_local,mean,std,min,max,p05,p25,p75,p95
0,75.15745856353591,5.319182049745406,59.0,89.0,67.0,72.0,79.0,84.0
1,74.06459948320413,5.060101222881102,58.0,87.0,66.3,70.0,78.0,82.69999999999999
2,73.01790281329923,5.021204953024147,57.0,86.0,65.0,70.0,76.0,81.0
3,72.06649616368287,4.85699894145479,56.0,85.0,64.0,69.0,75.0,80.0
4,71.2877030162413,4.802209962668132,57.0,83.0,64.0,68.0,75.0,80.0
5,70.9504716981132,4.619815452205415,56.0,83.0,64.0,68.0,74.0,78.0
6,70.46650717703349,4.6130955031357725,54.0,82.0,63.0,68.0,73.0,78.0
7,71.73015873015873,4.6990252927099965,57.0,82.0,64.0,68.0,75.0,79.0
8,74.55844155844156,5.374742015353084,61.0,87.0,66.0,71.0,79.0,83.0
9,77.54336734693878,6.280172744928548,61.0,91.0,66.55,73.0,82.0,88.0
10,80.81167108753316,7.052166682148501,63.0,96.0,70.0,75.0,86.0,92.0
11,83.55840455840456,7.657405884231612,63.0,100.0,70.0,78.0,89.5,96.0
12,86.11699164345404,7.75589275897731,66.0,101.0,71.9,81.0,91.5,99.0
13,87.94339622641509,8.26418703523771,68.0,104.0,72.0,83.0,94.0,100.0
14,89.3249299719888,8.046268610259858,70.0,106.0,73.8,84.0,95.0,101.19999999999999
15,90.39488636363636,7.908326384126819,71.0,108.0,75.0,85.0,96.0,102.0
16,90.24649859943978,8.131349398644428,71.0,108.0,73.8,85.0,96.0,102.0
17,90.15361445783132,7.141463469863277,70.0,104.0,77.0,85.0,95.0,101.44999999999999
18,88.47916666666667,6.727944434848435,72.0,102.0,77.0,84.0,93.0,100.0
19,85.28173374613003,6.401514336831963,70.0,99.0,75.0,81.0,90.0,96.0
20,81.41329479768787,6.239634614890141,67.0,97.0,71.0,77.0,86.0,91.0
21,79.57925072046109,5.651888682531898,65.0,92.0,71.0,75.0,84.0,89.0
22,77.15469613259668,5.6277254441489895,62.0,89.0,69.0,73.0,82.0,87.0
23,75.89166666666667,5.463164826035785,60.0,89.0,68.0,72.0,80.0,85.0
