hour_local,mean,std,min,max,p05,p25,p75,p95
0,72.4774011299435,5.82811375494868,51.0,88.0,63.0,69.0,77.0,81.0
1,71.36467236467236,5.625280167580718,52.0,90.0,61.5,68.0,75.0,80.0
2,70.3,5.542102463277546,52.0,86.0,61.0,67.0,73.0,79.0
3,68.875,5.4572285350333365,52.0,84.0,59.0,65.75,72.0,77.0
4,67.69461077844312,5.214570225900159,52.0,80.0,59.0,64.0,71.0,76.0
5,66.52857142857142,5.213827297485651,53.0,80.0,58.0,64.0,70.0,75.0
6,65.61807580174927,5.150077479127954,53.0,84.0,56.0,63.0,69.0,74.0
7,64.85838150289017,5.138110150979532,52.0,81.0,56.25,62.0,68.0,73.0
8,65.81194029850747,5.363759584717847,50.0,81.0,56.7,63.0,69.5,74.0
9,68.88588588588588,5.060377522842118,50.0,82.0,60.6,66.0,72.0,77.0
10,72.84307692307692,5.243160425169591,49.0,85.0,64.0,70.0,76.0,80.0
11,77.0579268292683,5.9472449845238975,49.0,89.0,65.35,74.0,81.0,85.0
12,80.29855072463768,6.8225535003829805,49.0,92.0,66.0,77.0,85.0,89.0
13,82.47619047619048,6.885713841693128,49.0,95.0,70.8,79.0,87.0,91.19999999999999
14,83.81176470588235,7.273817137905166,49.0,96.0,70.0,81.0,88.25,93.0
15,84.44875346260388,8.144067701069659,50.0,98.0,68.0,82.0,90.0,94.0
16,85.50578034682081,7.55971175727368,53.0,99.0,70.0,82.0,91.0,95.0
17,85.82857142857142,7.332018388911871,55.0,99.0,70.0,83.0,91.0,95.0
18,85.07440476190476,7.935023418967292,52.0,98.0,68.0,82.0,90.0,94.25
19,83.74590163934427,7.465604940661181,51.0,98.0,70.0,80.0,89.0,93.0
20,81.31741573033707,7.659502433454143,51.0,96.0,66.0,78.0,87.0,91.0
21,77.70689655172414,6.834836905747829,52.0,92.0,65.0,74.0,82.0,87.0
22,75.60115606936417,5.94051662652875,52.0,89.0,65.0,72.0,80.0,84.0
23,74.18235294117648,5.783889260550376,53.0,88.0,64.0,71.0,79.0,83.0
