hour_local,mean,std,min,max,p05,p25,p75,p95
0,29.459016393442624,6.588969563317406,2.0,43.0,19.1,26.0,34.0,39.0
1,29.014634146341464,6.503753101080076,2.0,42.0,17.200000000000003,26.0,33.0,38.0
2,28.88082901554404,6.8785063283501975,2.0,42.0,16.0,25.0,33.0,37.0
3,28.56989247311828,6.981671525191714,0.0,41.0,18.0,24.0,34.0,37.0
4,27.387283236994218,7.932510388562958,-1.0,42.0,13.0,23.0,34.0,37.0
5,27.36111111111111,7.516658511806698,-1.0,41.0,14.0,23.0,32.25,38.0
6,27.915254237288135,6.939564112899427,-2.0,41.0,16.8,24.0,32.0,37.0
7,27.535911602209946,7.314755473465044,-3.0,41.0,15.0,24.0,32.0,37.0
8,26.833333333333332,7.743487946955315,-3.0,40.0,14.0,22.0,32.0,37.44999999999999
9,27.46842105263158,6.8526866960376775,-2.0,40.0,15.450000000000001,24.25,32.0,36.54999999999998
10,28.61085972850679,6.744200854556313,1.0,45.0,17.0,25.0,33.0,38.0
11,30.511848341232227,6.337612731841136,4.0,46.0,20.0,27.0,34.5,40.0
12,32.196969696969695,6.009011076783305,8.0,48.0,23.0,29.25,35.75,41.14999999999998
13,33.1256038647343,5.95155780354329,11.0,51.0,25.0,30.0,37.0,42.69999999999999
14,33.278538812785385,6.446679371533705,13.0,52.0,23.0,30.0,37.5,43.0
15,34.20618556701031,6.3350953460154535,13.0,59.0,24.65,30.0,38.0,43.349999999999994
16,33.958333333333336,6.3952152707716845,12.0,59.0,24.55,30.0,38.0,43.0
17,33.81347150259067,6.568265314378609,10.0,57.0,23.6,30.0,37.0,45.39999999999998
18,31.414414414414413,5.8980301466073435,7.0,45.0,21.05,28.0,35.0,41.0
19,30.808988764044944,5.851025125294045,6.0,44.0,21.85,27.0,34.0,42.0
20,30.537634408602152,6.10282901131075,6.0,45.0,20.0,27.25,34.0,39.75
21,29.581521739130434,6.451490772742502,5.0,44.0,18.15,27.0,33.25,39.0
22,29.71578947368421,6.292959293926895,3.0,42.0,19.0,27.0,34.0,39.54999999999998
23,29.67032967032967,6.362102826652906,2.0,42.0,19.05,27.0,34.0,39.0
