hour_local,mean,std,min,max,p05,p25,p75,p95
0,45.46496815286624,5.482506204294955,31.0,59.0,36.0,42.0,49.0,55.0
1,44.722397476340696,5.798726119904655,29.0,59.0,34.8,41.0,49.0,55.0
2,44.09508196721311,5.910027891707388,27.0,59.0,34.0,40.0,48.0,53.0
3,43.614197530864196,6.125310301448748,26.0,57.0,34.0,39.0,48.0,54.0
4,42.37620578778135,6.045255116906359,27.0,56.0,32.0,38.0,46.0,52.0
5,41.80120481927711,6.202250716625375,25.0,57.0,32.0,37.0,46.0,52.0
6,41.210031347962385,6.271360454375092,26.0,57.0,31.0,36.5,46.0,52.0
7,40.85126582278481,6.425151346169007,25.0,59.0,30.75,36.0,46.0,51.25
8,40.644171779141104,6.727835159048136,24.0,58.0,31.0,35.0,46.0,51.75
9,42.67528735632184,6.424087297952361,27.0,60.0,33.0,38.0,48.0,52.0
10,45.91167192429022,5.496698322537608,33.0,62.0,37.0,42.0,50.0,55.0
11,49.5,4.9890649655791455,38.0,65.0,41.0,46.0,52.0,58.0
12,52.18604651162791,5.449501280644209,39.0,68.0,42.150000000000006,49.0,56.0,60.849999999999966
13,54.461988304093566,5.7552744769340185,39.0,71.0,45.0,50.0,58.0,64.0
14,56.18895348837209,6.0965788865788735,39.0,72.0,46.0,52.0,60.0,66.0
15,57.04249291784703,6.0744347394691,40.0,73.0,46.6,53.0,61.0,67.0
16,57.610942249240125,6.119291916609231,41.0,73.0,47.400000000000006,54.0,62.0,67.59999999999997
17,56.58507462686567,6.040612396368163,42.0,73.0,46.0,52.0,61.0,66.0
18,54.66019417475728,5.570481218093713,41.0,71.0,46.0,51.0,58.0,63.0
19,51.457142857142856,5.041917107258856,36.0,68.0,43.0,48.0,55.0,60.0
20,49.587859424920126,4.994815859203898,35.0,63.0,41.0,47.0,52.0,58.0
21,48.20909090909091,4.839230743231749,34.0,61.0,40.0,45.0,51.0,57.0
22,47.104918032786884,5.270524611531501,32.0,60.0,38.0,44.0,51.0,56.80000000000001
23,46.24203821656051,5.4308329004071805,31.0,60.0,37.0,42.0,49.75,55.0
