hour_local,mean,std,min,max,p05,p25,p75,p95
0,12.354285714285714,14.657788774470001,-28.0,41.0,-14.199999999999996,2.5,22.0,33.0
1,11.673913043478262,14.683255915380283,-28.0,39.0,-17.4,1.0,22.0,32.0
2,10.796703296703297,15.302019875693588,-28.0,40.0,-19.9,0.0,22.0,33.0
3,10.89047619047619,15.66492454549899,-26.0,38.0,-20.0,0.0,21.0,33.0
4,11.391959798994975,15.664962372753724,-26.0,37.0,-20.0,0.0,24.0,34.0
5,11.614525139664805,14.579191388513413,-26.0,39.0,-17.2,1.0,21.0,33.099999999999994
6,12.513661202185792,15.214169914664348,-26.0,36.0,-21.9,3.0,24.5,31.900000000000006
7,9.672131147540984,15.607888937380574,-26.0,37.0,-23.0,0.0,21.0,30.0
8,9.166666666666666,14.9637218660795,-26.0,36.0,-18.0,0.0,20.0,30.0
9,10.243781094527364,14.492938750710318,-24.0,39.0,-14.0,1.0,22.0,31.0
10,11.174528301886792,14.898796422783166,-24.0,43.0,-13.0,1.75,23.0,34.0
11,13.6775956284153,14.767051634210985,-22.0,48.0,-11.0,1.0,24.0,34.900000000000006
12,14.245810055865922,15.860909540340513,-22.0,52.0,-11.0,1.0,26.0,39.0
13,15.727272727272727,15.34720246092503,-20.0,54.0,-9.25,1.75,28.0,38.25
14,16.163636363636364,15.392146757947113,-19.0,55.0,-8.399999999999997,1.0,27.0,40.0
15,17.011627906976745,15.678416039197455,-19.0,54.0,-11.0,5.0,28.0,40.0
16,15.209039548022599,15.284288118091606,-20.0,52.0,-12.0,3.0,27.0,36.19999999999999
17,13.50609756097561,15.558122551117046,-20.0,46.0,-14.0,1.0,25.0,36.849999999999994
18,11.494897959183673,16.73641736284622,-21.0,45.0,-20.0,0.0,24.25,34.25
19,12.666666666666666,15.082224134672074,-22.0,46.0,-15.0,1.0,23.0,34.0
20,12.591623036649215,14.955398003970027,-24.0,46.0,-15.0,1.0,23.5,33.5
21,13.643564356435643,14.449833725508492,-25.0,45.0,-14.95,2.25,23.0,34.0
22,13.553299492385786,14.846612056897353,-26.0,44.0,-17.2,3.0,24.0,34.0
23,12.358585858585858,13.932312878789702,-27.0,42.0,-14.299999999999997,3.0,23.0,33.0
