hour_local,mean,std,min,max,p05,p25,p75,p95
0,78.10602409638554,3.2672193187346177,70.0,89.0,73.0,76.0,80.0,83.29999999999995
1,77.47587719298245,2.9973375178438566,69.0,88.0,73.0,75.0,79.0,82.0
2,76.90135396518376,2.9008048376030353,68.0,87.0,73.0,75.0,79.0,81.0
3,76.81929824561404,2.6541699523295903,67.0,85.0,72.45,75.0,79.0,81.0
4,76.40487804878049,2.6365587351566875,67.0,84.0,72.0,75.0,79.0,81.0
5,76.35319767441861,2.427155014219605,66.0,83.0,72.0,75.0,78.0,80.0
6,76.12889518413597,2.4095762077707237,66.0,83.0,72.0,75.0,78.0,79.0
7,76.34861111111111,2.413885023272377,67.0,85.0,72.0,75.0,78.0,80.0
8,78.8078541374474,2.757695060391925,71.0,88.0,73.0,77.0,81.0,83.0
9,81.52446675031368,3.5720813187411506,69.0,94.0,73.0,81.0,84.0,86.0
10,84.3013698630137,4.345646961139212,70.0,96.0,75.0,82.0,87.0,90.0
11,86.98761061946902,5.231674073083984,71.0,100.0,75.0,86.0,90.0,93.0
12,88.62820512820512,6.308509709446078,71.0,101.0,77.0,86.0,93.0,97.0
13,90.21230158730158,7.54315401047619,71.0,104.0,75.0,87.0,95.0,99.0
14,91.49266247379455,7.659127624185907,72.0,104.0,75.0,88.0,97.0,101.0
15,93.60730593607306,7.510855091986877,73.0,106.0,77.0,91.0,99.0,103.0
16,93.11205073995772,8.13980870954156,72.0,107.0,77.0,89.0,99.0,104.0
17,92.3986013986014,8.479888130880102,72.0,106.0,75.4,87.0,99.0,103.0
18,90.55415617128463,8.512036285344633,72.0,106.0,75.0,84.0,97.0,101.19999999999999
19,87.35245901639344,7.108461634797239,72.0,101.0,75.0,82.0,93.0,97.0
20,83.92764857881137,5.850462574202315,72.0,97.0,74.3,79.0,88.5,92.0
21,82.54641909814323,4.851364599040744,72.0,94.0,74.8,79.0,86.0,90.0
22,80.71774193548387,4.431376397260064,72.0,92.0,73.0,77.0,84.0,87.0
23,79.36729222520107,3.6612916242663918,70.0,90.0,73.0,77.0,82.0,85.0
