hour_local,mean,std,min,max,p05,p25,p75,p95
0,51.23157894736842,9.527449159400907,21.0,73.0,35.0,45.0,59.0,66.0
1,49.756388415672916,9.807025720732106,21.0,72.0,33.0,43.0,57.0,64.0
2,50.260096930533116,10.401263645705866,18.0,72.0,33.0,43.0,59.0,66.0
3,49.37128712871287,10.411330477297486,18.0,72.0,32.0,43.0,57.0,66.0
4,49.74570982839314,10.855553784672558,18.0,72.0,32.0,41.0,58.0,66.0
5,50.181666666666665,11.19318883738997,18.0,71.0,31.0,42.0,59.0,68.0
6,48.69409937888199,11.17684353386349,16.0,72.0,31.15,41.0,56.0,66.0
7,48.267343485617594,10.8836496658802,17.0,72.0,31.0,41.0,55.5,65.5
8,51.07005253940455,9.907572675132103,21.0,71.0,34.5,44.5,59.0,65.0
9,53.540636042402824,9.274435829133557,22.0,73.0,36.0,48.0,59.0,66.0
10,55.388990825688076,9.647417928799927,23.0,76.0,37.0,50.0,63.0,69.0
11,57.6610800744879,10.807881018721702,24.0,77.0,33.0,53.0,65.0,72.0
12,58.64182194616977,12.134364903503789,25.0,78.0,33.0,53.0,68.0,74.0
13,59.81908548707754,12.772958922665014,25.0,79.0,30.0,54.0,70.0,76.0
14,60.84434968017057,12.381544503321013,27.0,83.0,34.0,56.0,70.0,77.0
15,61.99285714285714,11.454483814405759,27.0,84.0,36.0,56.0,70.0,78.04999999999995
16,60.91232227488152,10.963961253839877,27.0,82.0,38.05,56.0,68.0,76.0
17,57.52739726027397,10.458939136239062,26.0,80.0,32.85,52.0,64.0,73.0
18,55.97027600849257,9.485889169071742,26.0,77.0,37.5,51.0,62.0,72.0
19,55.03253796095445,9.102378085183075,26.0,74.0,39.0,50.0,61.0,70.0
20,52.74327122153209,9.317828094424184,24.0,73.0,34.0,48.0,59.0,66.0
21,51.70216606498195,9.705599267647656,23.0,73.0,34.0,46.0,59.0,66.0
22,51.56307129798903,9.093387490058797,22.0,73.0,36.0,46.0,59.0,66.0
23,51.45340501792115,9.603287936583854,22.0,73.0,36.0,45.0,59.0,66.0
